feature,mean,std,min,max,skewness,kurtosis
Dst Port,8917.96095712616,18696.000066692086,0.0,65535.0,1.913860581593539,1.8395228621174828
Flow Duration,11883905.423530364,495475116.3906156,-919011000000.0,120000000.0,-1430.5911124215104,2159344.758525113
Tot Fwd Pkts,23.661005207662328,1525.64253405494,1.0,309629.0,88.29469145462826,8222.500652039314
Tot Bwd Pkts,6.350066303393845,164.51087342094334,0.0,123118.0,170.30092173863997,61503.74514648673
TotLen Fwd Pkts,978.733898103529,62353.20098167865,0.0,144391846.0,834.2151087690146,1798057.5562179824
Fwd Pkt Len Max,201.8772223751816,304.0567754838399,0.0,64440.0,4.588075476774188,535.2560973584451
Fwd Pkt Len Min,11.138222327899486,24.285012976935754,0.0,1460.0,11.396354793068788,396.15226937277293
Bwd Pkt Len Max,352.2270206640155,498.1632790036014,0.0,65160.0,1.6642618129218265,55.21592820175661
Bwd Pkt Len Min,26.63492265037832,51.08887508706903,0.0,1460.0,2.103761643564239,5.749255023980018
Bwd Pkt Len Mean,113.74662071142002,164.3599879907159,0.0,33879.28358,4.316189318305649,204.3536504843379
Flow Byts/s,257034.89325761565,3667840.9902577074,0.0,1806642857.14286,80.5508477895534,19849.872041892675
Flow Pkts/s,52296.98215172155,264725.0409225215,-0.0088953248,6000000.0,6.801047020856995,50.0389329695751
Flow IAT Mean,3355189.235523912,223608721.0300085,-828220000000.0,120000000.0,-3368.194427192061,11996916.813972194
Flow IAT Std,1283143.4985393144,339114493.9385353,0.0,474354474600.909,1204.9025036651233,1479866.8258620389
Bwd IAT Tot,7642457.934319206,25932857.06443042,0.0,120000000.0,3.609812303694123,11.564068464015223
Bwd IAT Mean,829090.7099677298,4352891.126872344,0.0,120000000.0,12.31608353595712,191.88377537140667
Bwd IAT Std,856225.0675045119,3386296.4089542357,0.0,84837189.5109486,6.197453495717041,47.62747685070586
Fwd PSH Flags,0.04194567292197157,0.2004650491616499,0.0,1.0,4.5699172318180645,18.884143505667826
Fwd URG Flags,0.00016477473174840988,0.01283540382089233,0.0,1.0,77.88383563620046,6063.891853412294
Fwd Pkts/s,36890.1335082679,213937.31435188738,0.0,6000000.0,8.671186540575238,83.85357899773832
Bwd Pkts/s,15406.848643177847,92686.15850102453,0.0,2000000.0,9.040710859015428,103.07486459426677
Pkt Len Var,41413.53334536422,213584.69485136343,0.0,519000000.0,1858.7063069697435,4272319.550074545
FIN Flag Cnt,0.0043560886680159725,0.06585676448397355,0.0,1.0,15.05217969855777,224.5681136776862
RST Flag Cnt,0.18851003920572754,0.39111892539735366,0.0,1.0,1.5928146158058132,0.5370584003246623
PSH Flag Cnt,0.3944099784950075,0.4887236050773927,0.0,1.0,0.4321052786468516,-1.813285028165532
ACK Flag Cnt,0.3281042918085517,0.4695230336910782,0.0,1.0,0.7322141883698238,-1.4638623823499464
URG Flag Cnt,0.04194536307854971,0.2004643411807418,0.0,1.0,4.569936462674766,18.884319272884245
Down/Up Ratio,0.4992823096819315,0.998941120718982,0.0,311.0,128.37654175457592,27369.800161036925
Init Fwd Win Byts,8829.26063198267,16265.78025018086,-1.0,65535.0,2.581801980238854,5.857309394907025
Init Bwd Win Byts,8740.582039194822,20669.45077459737,-1.0,65535.0,2.123382969207022,2.684607436350354
Fwd Seg Size Min,17.98075587294263,7.715059997044889,0.0,56.0,0.259541276317319,0.5473036987988209
Active Mean,173903.45976882003,2513315.466769613,0.0,114000000.0,24.78845365770027,704.5684364840292
Active Std,86953.92025722857,1519047.8573365523,0.0,75232413.85230836,25.823708315359756,706.5436522878971
Idle Min,4713435.762068882,63839578.39324297,0.0,239934000000.0,3329.391617017526,12392703.73100874
