feature,corr_label_generic,anova_f_label,abs_corr_generic,noise_fragility,data_type
Fwd Seg Size Min,0.43036531258929717,621387.1203005543,0.43036531258929717,🟢 Low fragility (robust),categorical
Bwd Pkts/s,0.26002205168925197,1834870.809493251,0.26002205168925197,🔴 High fragility,continuous
Fwd Pkt Len Mean,-0.22965832898115524,87239.40838843721,0.22965832898115524,🔴 High fragility,continuous
Fwd Seg Size Avg,-0.22965832898115524,87239.40838843722,0.22965832898115524,🔴 High fragility,continuous
Bwd Pkt Len Min,-0.21927306184971926,63067.11057005776,0.21927306184971926,🟡 Medium fragility,continuous
Init Fwd Win Byts,0.21773160388961846,302081.10631999205,0.21773160388961846,🟡 Medium fragility,continuous
Pkt Size Avg,-0.20645508836362397,65452.31763042602,0.20645508836362397,🔴 High fragility,continuous
Pkt Len Min,-0.20276491835569663,55010.52463710947,0.20276491835569663,🔴 High fragility,categorical
Fwd Pkt Len Min,-0.1912343439429833,48672.6888902994,0.1912343439429833,🔴 High fragility,continuous
Fwd Pkt Len Max,-0.1896726216042493,61193.25012872996,0.1896726216042493,🔴 High fragility,continuous
Pkt Len Mean,-0.18399044510741513,52091.126485293804,0.18399044510741513,🔴 High fragility,continuous
Init Bwd Win Byts,-0.18207768019283613,40522.708777848144,0.18207768019283613,🟡 Medium fragility,continuous
Bwd Pkt Len Mean,-0.15852037195101373,46186.31862723159,0.15852037195101373,🔴 High fragility,continuous
Bwd Seg Size Avg,-0.15852037195101296,46186.318627231005,0.15852037195101296,🔴 High fragility,continuous
Fwd Pkt Len Std,-0.15122674471522432,42367.57192453427,0.15122674471522432,🔴 High fragility,continuous
Flow Pkts/s,0.14871796277754815,469581.67191532423,0.14871796277754815,🔴 High fragility,continuous
Pkt Len Max,-0.13020067657582843,45296.934215849054,0.13020067657582843,🔴 High fragility,continuous
Pkt Len Std,-0.11583090837007314,42958.88891924072,0.11583090837007314,🟡 Medium fragility,continuous
Bwd IAT Tot,-0.1144066814966637,22405.08695286247,0.1144066814966637,🔴 High fragility,continuous
Bwd Pkt Len Max,-0.10972411996981486,43253.704133056635,0.10972411996981486,🟡 Medium fragility,continuous
Bwd IAT Max,-0.08735696588602415,34235.88756997916,0.08735696588602415,🔴 High fragility,continuous
SYN Flag Cnt,-0.08355994087294444,11215.223379938114,0.08355994087294444,🔴 High fragility,binary
Fwd PSH Flags,-0.08355994087294444,11215.223379938114,0.08355994087294444,🔴 High fragility,binary
Bwd IAT Std,-0.08120584622335894,23360.826523412463,0.08120584622335894,🔴 High fragility,continuous
Fwd Pkts/s,0.07137101693172317,138457.9209401185,0.07137101693172317,🔴 High fragility,continuous
Bwd Pkt Len Std,-0.05945127924242481,41267.20621441128,0.05945127924242481,🟡 Medium fragility,continuous
Bwd IAT Mean,-0.05286504961210531,98556.54982667965,0.05286504961210531,🔴 High fragility,continuous
Pkt Len Var,-0.03493056099790381,3320.781649323723,0.03493056099790381,🔴 High fragility,continuous
Active Max,-0.030403874036340886,1980.1730602197274,0.030403874036340886,🔴 High fragility,continuous
Flow Byts/s,-0.027366979817968855,928.4098734580788,0.027366979817968855,🔴 High fragility,continuous
Fwd Act Data Pkts,0.02592161601740952,2009630.5126230281,0.02592161601740952,🔴 High fragility,continuous
Active Mean,-0.025890257286834435,1761.337512925334,0.025890257286834435,🔴 High fragility,continuous
