model,task,method,feature,noise_percentage,mean,std,n,sem,ci_half,ci_low,ci_high
cnn_lstm,binary,duplicated,Timestamp,1.0,0.9281494966006612,1.2412670766236366e-16,5,5.551115123125783e-17,1.5412366411992026e-16,0.928149496600661,0.9281494966006613
cnn_lstm,binary,duplicated,Timestamp,5.0,0.927480774231898,0.0,5,0.0,0.0,0.927480774231898,0.927480774231898
cnn_lstm,binary,duplicated,Timestamp,10.0,0.926366236950626,0.0,5,0.0,0.0,0.926366236950626,0.926366236950626
cnn_lstm,binary,duplicated,Timestamp,20.0,0.9245458260578816,0.0,5,0.0,0.0,0.9245458260578816,0.9245458260578816
cnn_lstm,binary,duplicated,Timestamp,30.0,0.9273321692610617,1.2412670766236366e-16,5,5.551115123125783e-17,1.5412366411992026e-16,0.9273321692610615,0.9273321692610618
cnn_lstm,binary,duplicated,Timestamp,75.0,0.9281123453579522,0.0,3,0.0,0.0,0.9281123453579522,0.9281123453579522
cnn_lstm,binary,labels,FIN Flag Cnt,1.0,0.9250510829587248,0.0027272150083779236,5,0.0012196476295981392,0.003386284691263845,0.921664798267461,0.9284373676499887
cnn_lstm,binary,labels,FIN Flag Cnt,5.0,0.9287884979752572,0.0006715029311464924,5,0.00030030524022678357,0.0008337810142929008,0.9279547169609643,0.9296222789895501
cnn_lstm,binary,labels,FIN Flag Cnt,10.0,0.9287067652412974,0.0005093921759781082,5,0.00022780710653871704,0.0006324939258786932,0.9280742713154186,0.9293392591671761
cnn_lstm,binary,labels,FIN Flag Cnt,20.0,0.9272801575212691,0.0014050342623063278,5,0.0006283504242466439,0.0017445804597485512,0.9255355770615206,0.9290247379810177
cnn_lstm,binary,labels,FIN Flag Cnt,30.0,0.9289222424490099,0.0001808620789038569,5,8.088398059619094e-05,0.00022456993201520762,0.9286976725169946,0.9291468123810251
cnn_lstm,binary,labels,FIN Flag Cnt,50.0,0.9276665304454434,0.0,4,0.0,0.0,0.9276665304454434,0.9276665304454434
cnn_lstm,binary,labels,FIN Flag Cnt,75.0,0.925846119552699,0.0,4,0.0,0.0,0.925846119552699,0.925846119552699
cnn_lstm,binary,labels,Protocol,1.0,0.9277928446706543,0.0008953372415286565,5,0.0004004069869690447,0.0011117080190572008,0.926681136651597,0.9289045526897115
cnn_lstm,binary,labels,Protocol,5.0,0.9284318460452502,0.0022586916774927582,5,0.0010101176262173677,0.002804536138985225,0.925627309906265,0.9312363821842354
cnn_lstm,binary,labels,Protocol,10.0,0.9270572500650147,0.00022383431038216413,5,0.00010010174674226118,0.0002779270047643002,0.9267793230602505,0.927335177069779
cnn_lstm,binary,labels,Protocol,20.0,0.928558160270461,0.0012209144202663443,5,0.0005460095276850585,0.0015159654805325397,0.9270421947899284,0.9300741257509936
cnn_lstm,binary,labels,Protocol,30.0,0.9231489393320207,0.005168537712460953,5,0.0023114403338667907,0.006417587200921204,0.9167313521310995,0.9295665265329419
cnn_lstm,binary,labels,Protocol,50.0,0.9267749006204258,0.0,4,0.0,0.0,0.9267749006204258,0.9267749006204258
cnn_lstm,binary,labels,Protocol,75.0,0.9292268826392243,0.0,4,0.0,0.0,0.9292268826392243,0.9292268826392243
cnn_lstm,binary,missing,Down_Up Ratio,1.0,0.931389084964892,0.003418560376745813,5,0.0015288266775181857,0.004244703345491172,0.9271443816194008,0.9356337883103832
cnn_lstm,binary,missing,Down_Up Ratio,5.0,0.9331946353605527,0.00482261196005221,5,0.0021567376343560483,0.005988063648103718,0.927206571712449,0.9391826990086564
cnn_lstm,binary,missing,Down_Up Ratio,10.0,0.9292120221421406,0.00669468073779399,5,0.002993952243473161,0.00831254405158701,0.9208994780905536,0.9375245661937276
cnn_lstm,binary,missing,Down_Up Ratio,20.0,0.9314856781959356,0.00838361235249578,5,0.003749265423437498,0.010409629632990374,0.9210760485629452,0.941895307828926
cnn_lstm,binary,missing,Down_Up Ratio,30.0,0.9303191291748709,0.005005749123092139,5,0.002238639063508797,0.006215458470183571,0.9241036707046874,0.9365345876450545
cnn_lstm,binary,missing,Down_Up Ratio,50.0,0.9281494966006613,0.0,4,0.0,0.0,0.9281494966006613,0.9281494966006613
cnn_lstm,binary,missing,Down_Up Ratio,75.0,0.9203105843890478,0.0,4,0.0,0.0,0.9203105843890478,0.9203105843890478
cnn_lstm,binary,missing,FIN Flag Cnt,1.0,0.9281569268492031,0.005351674875500944,5,0.002393341763019567,0.006644982023001134,0.921511944826202,0.9348019088722043
cnn_lstm,binary,missing,FIN Flag Cnt,5.0,0.9335364267934763,0.0026453145772437968,5,0.0011830206433176495,0.0032845918744872325,0.930251834918989,0.9368210186679635
cnn_lstm,binary,missing,FIN Flag Cnt,10.0,0.9308392465727978,0.006837120753491686,5,0.0030576533550363983,0.008489406690982419,0.9223498398818154,0.9393286532637802
cnn_lstm,binary,missing,FIN Flag Cnt,20.0,0.9336478805216034,0.006206314969687367,5,0.0027755484323990997,0.007706157859373889,0.9259417226622295,0.9413540383809773
cnn_lstm,binary,missing,FIN Flag Cnt,30.0,0.9285284392762938,0.0064708464274117646,5,0.0028938504967308725,0.008034617046822633,0.9204938222294712,0.9365630563231164
cnn_lstm,binary,missing,FIN Flag Cnt,50.0,0.9213136679421927,0.0,4,0.0,0.0,0.9213136679421927,0.9213136679421927
cnn_lstm,binary,missing,FIN Flag Cnt,75.0,0.926366236950626,0.0,4,0.0,0.0,0.926366236950626,0.926366236950626
cnn_lstm,binary,missing,Protocol,1.0,0.9314633874503102,0.004130760455234539,5,0.0018473322353344812,0.005129016542468518,0.9263343709078417,0.9365924039927788
cnn_lstm,binary,missing,Protocol,5.0,0.9314410967046849,0.0026249660035726798,5,0.0011739204845228935,0.0032593257831450098,0.9281817709215399,0.9347004224878299
cnn_lstm,binary,missing,Protocol,10.0,0.9316194226696883,0.0060231778066474366,5,0.0026936470032463506,0.007478763037294035,0.9241406596323943,0.9390981857069823
cnn_lstm,binary,missing,Protocol,20.0,0.9328677044247129,0.004680171944354452,5,0.0020930365227927834,0.005811201008708233,0.9270565034160047,0.9386789054334211
cnn_lstm,binary,missing,Protocol,30.0,0.9295835345692314,0.003642394687128038,5,0.0016289284242604742,0.004522630350255548,0.9250609042189758,0.934106164919487
cnn_lstm,binary,missing,Protocol,50.0,0.9267749006204258,0.0,4,0.0,0.0,0.9267749006204258,0.9267749006204258
cnn_lstm,binary,missing,Protocol,75.0,0.9292268826392243,0.0,4,0.0,0.0,0.9292268826392243,0.9292268826392243
