model,task,method,feature,noise_percentage,mean,std,n,sem,ci_half,ci_low,ci_high
cnn_lstm,binary,duplicated,Timestamp,1.0,0.7453252567816697,0.0,5,0.0,0.0,0.7453252567816697,0.7453252567816697
cnn_lstm,binary,duplicated,Timestamp,5.0,0.7381974248927039,0.0,5,0.0,0.0,0.7381974248927039,0.7381974248927039
cnn_lstm,binary,duplicated,Timestamp,10.0,0.7394162503286879,0.0,5,0.0,0.0,0.7394162503286879,0.7394162503286879
cnn_lstm,binary,duplicated,Timestamp,20.0,0.7278574299879405,0.0,5,0.0,0.0,0.7278574299879405,0.7278574299879405
cnn_lstm,binary,duplicated,Timestamp,30.0,0.7471561530506722,0.0,5,0.0,0.0,0.7471561530506722,0.7471561530506722
cnn_lstm,binary,duplicated,Timestamp,75.0,0.7419655954127217,0.0,3,0.0,0.0,0.7419655954127217,0.7419655954127217
cnn_lstm,binary,labels,FIN Flag Cnt,1.0,0.7278413821421207,0.019400913636076402,5,0.00867635234317389,0.024089415994176553,0.7037519661479441,0.7519307981362973
cnn_lstm,binary,labels,FIN Flag Cnt,5.0,0.7430344116114163,0.0053618353396817555,5,0.0023978856607378162,0.006657597905579487,0.7363768137058367,0.7496920095169958
cnn_lstm,binary,labels,FIN Flag Cnt,10.0,0.7433227831568169,0.0038164116800245037,5,0.0017067511893317931,0.00473870098541077,0.7385840821714061,0.7480614841422276
cnn_lstm,binary,labels,FIN Flag Cnt,20.0,0.73835593897553,0.0024755898466993845,5,0.0011071174363256214,0.003073850786965401,0.7352820881885646,0.7414297897624954
cnn_lstm,binary,labels,FIN Flag Cnt,30.0,0.746095997065198,0.0007172656228037084,5,0.00032077093810256303,0.0008906029009845655,0.7452053941642135,0.7469865999661826
cnn_lstm,binary,labels,FIN Flag Cnt,50.0,0.7449901768172889,0.0,4,0.0,0.0,0.7449901768172889,0.7449901768172889
cnn_lstm,binary,labels,FIN Flag Cnt,75.0,0.7369530838165524,0.0,4,0.0,0.0,0.7369530838165524,0.7369530838165524
cnn_lstm,binary,labels,Protocol,1.0,0.7397239134192136,0.008011432829258721,5,0.003582821680679193,0.009947507718118278,0.7297764057010954,0.7496714211373319
cnn_lstm,binary,labels,Protocol,5.0,0.7412705881026499,0.00957215564054622,5,0.004280798140693878,0.011885401044069334,0.7293851870585806,0.7531559891467192
cnn_lstm,binary,labels,Protocol,10.0,0.7370533361437286,0.004957184903726694,5,0.0022169204843537275,0.006155158027396628,0.730898178116332,0.7432084941711252
cnn_lstm,binary,labels,Protocol,20.0,0.7452638717349265,0.006890330949887557,5,0.0030814496782838544,0.008555475876184522,0.7367083958587419,0.753819347611111
cnn_lstm,binary,labels,Protocol,30.0,0.719802757305336,0.02421695740836246,5,0.010830152594663118,0.030069324159997596,0.6897334331453384,0.7498720814653337
cnn_lstm,binary,labels,Protocol,50.0,0.7429242206860571,0.0,4,0.0,0.0,0.7429242206860571,0.7429242206860571
cnn_lstm,binary,labels,Protocol,75.0,0.7502294480136358,0.0,4,0.0,0.0,0.7502294480136358,0.7502294480136358
cnn_lstm,binary,missing,Down_Up Ratio,1.0,0.7615496236503033,0.015457638856011053,5,0.006912866250736559,0.01919319366474454,0.7423564299855587,0.7807428173150479
cnn_lstm,binary,missing,Down_Up Ratio,5.0,0.7681012781310984,0.01748570618874754,5,0.007819845534525652,0.02171137185773657,0.7463899062733619,0.7898126499888349
cnn_lstm,binary,missing,Down_Up Ratio,10.0,0.7529757711554483,0.030846612216582442,5,0.01379502435837076,0.03830112785588283,0.7146746432995655,0.7912768990113311
cnn_lstm,binary,missing,Down_Up Ratio,20.0,0.7632214448295281,0.027965108267620345,5,0.012506376616908094,0.034723268141774614,0.7284981766877535,0.7979447129713028
cnn_lstm,binary,missing,Down_Up Ratio,30.0,0.7548581783236348,0.015457305605943569,5,0.0069127172167756795,0.019192779880133348,0.7356653984435014,0.7740509582037681
cnn_lstm,binary,missing,Down_Up Ratio,50.0,0.7426822778073443,0.0,4,0.0,0.0,0.7426822778073443,0.7426822778073443
cnn_lstm,binary,missing,Down_Up Ratio,75.0,0.7104090724989874,0.0,4,0.0,0.0,0.7104090724989874,0.7104090724989874
cnn_lstm,binary,missing,FIN Flag Cnt,1.0,0.7514459789312149,0.019310189559562627,5,0.008635779302717752,0.023976767174599116,0.7274692117566158,0.775422746105814
cnn_lstm,binary,missing,FIN Flag Cnt,5.0,0.7673046475466077,0.010596018394024222,5,0.004738683483975262,0.013156694564164743,0.7541479529824429,0.7804613421107724
cnn_lstm,binary,missing,FIN Flag Cnt,10.0,0.7573177377766571,0.02524668293155953,5,0.011290659848270155,0.03134789727018293,0.7259698405064742,0.7886656350468401
cnn_lstm,binary,missing,FIN Flag Cnt,20.0,0.766719723998239,0.024064618446242213,5,0.01076202453967859,0.029880170355209158,0.7368395536430298,0.7965998943534481
cnn_lstm,binary,missing,FIN Flag Cnt,30.0,0.7499805152566107,0.02280696198554512,5,0.010199583471986491,0.02831858360585321,0.7216619316507575,0.7782990988624638
cnn_lstm,binary,missing,FIN Flag Cnt,50.0,0.7151694459386767,0.0,4,0.0,0.0,0.7151694459386767,0.7151694459386767
cnn_lstm,binary,missing,FIN Flag Cnt,75.0,0.7421285454072339,0.0,4,0.0,0.0,0.7421285454072339,0.7421285454072339
cnn_lstm,binary,missing,Protocol,1.0,0.7565769695755025,0.015065564719993029,5,0.006737525366665399,0.018706369325424115,0.7378706002500783,0.7752833389009266
cnn_lstm,binary,missing,Protocol,5.0,0.7559685955115738,0.011130596051431595,5,0.004977753880218358,0.013820460395611583,0.7421481351159622,0.7697890559071854
cnn_lstm,binary,missing,Protocol,10.0,0.7522910371527948,0.025822266321688617,5,0.01154806856567984,0.032062578443670296,0.7202284587091244,0.7843536155964651
cnn_lstm,binary,missing,Protocol,20.0,0.7669459975257257,0.022799142525825686,5,0.010196086503290498,0.028308874464234187,0.7386371230614915,0.7952548719899598
cnn_lstm,binary,missing,Protocol,30.0,0.7498264995502237,0.01689474481225199,5,0.007555559572541474,0.020977596392213107,0.7288489031580107,0.7708040959424368
cnn_lstm,binary,missing,Protocol,50.0,0.7429242206860571,0.0,4,0.0,0.0,0.7429242206860571,0.7429242206860571
cnn_lstm,binary,missing,Protocol,75.0,0.7502294480136358,0.0,4,0.0,0.0,0.7502294480136358,0.7502294480136358
cnn_lstm,binary,missing,Timestamp,1.0,0.7576605531255522,0.0008681718153045724,5,0.0003882582390340832,0.001077977687318895,0.7565825754382334,0.7587385308128711
cnn_lstm,binary,missing,Timestamp,5.0,0.7940893006390748,0.027498003020161838,5,0.012297480799715278,0.03414328037263333,0.7599460202664414,0.8282325810117082
cnn_lstm,binary,missing,Timestamp,10.0,0.7857493462720387,0.011696367324254697,5,0.0052307744853681655,0.01452295821629395,0.7712263880557448,0.8002723044883326
cnn_lstm,binary,missing,Timestamp,20.0,0.8268849206349206,0.0,5,0.0,0.0,0.8268849206349206,0.8268849206349206
cnn_lstm,binary,missing,Timestamp,30.0,0.7689113792656027,0.0,5,0.0,0.0,0.7689113792656027,0.7689113792656027
cnn_lstm,binary,missing,Timestamp,50.0,0.7328060061670465,0.0,4,0.0,0.0,0.7328060061670465,0.7328060061670465
cnn_lstm,binary,missing,Timestamp,75.0,0.7993959224767179,0.0,4,0.0,0.0,0.7993959224767179,0.7993959224767179
cnn_lstm,binary,noise,Down_Up Ratio,1.0,0.7451206216397035,0.010958405568732331,5,0.0049007479553395475,0.013606657672410582,0.731513963967293,0.758727279312114
cnn_lstm,binary,noise,Down_Up Ratio,5.0,0.7433075098386733,0.008405235205325129,5,0.003758935457196278,0.010436477950887035,0.7328710318877862,0.7537439877895604
cnn_lstm,binary,noise,Down_Up Ratio,10.0,0.7409717134402246,0.007127967727981686,5,0.0031877240762383558,0.008850540908193141,0.7321211725320315,0.7498222543484178
cnn_lstm,binary,noise,Down_Up Ratio,20.0,0.7387878043231476,0.011131726948119538,5,0.0049782596325923115,0.013821864589314689,0.7249659397338329,0.7526096689124623
