model,task,method,feature,noise_percentage,mean,std,n,sem,ci_half,ci_low,ci_high
cnn_lstm,binary,duplicated,Timestamp,1.0,0.7268713905085948,0.0,5,0.0,0.0,0.7268713905085948,0.7268713905085948
cnn_lstm,binary,duplicated,Timestamp,5.0,0.7245576152552272,0.0,5,0.0,0.0,0.7245576152552272,0.7245576152552272
cnn_lstm,binary,duplicated,Timestamp,10.0,0.7193320566639269,0.0,5,0.0,0.0,0.7193320566639269,0.7193320566639269
cnn_lstm,binary,duplicated,Timestamp,20.0,0.7118856780285555,0.0,5,0.0,0.0,0.7118856780285555,0.7118856780285555
cnn_lstm,binary,duplicated,Timestamp,30.0,0.7234249623431637,0.0,5,0.0,0.0,0.7234249623431637,0.7234249623431637
cnn_lstm,binary,duplicated,Timestamp,75.0,0.7270460807059264,1.3597399555105182e-16,3,7.850462293418875e-17,3.377781301657394e-16,0.727046080705926,0.7270460807059267
cnn_lstm,binary,labels,FIN Flag Cnt,1.0,0.7146401783514883,0.010671033663545881,5,0.0047722313323754414,0.013249838323645338,0.701390340027843,0.7278900166751336
cnn_lstm,binary,labels,FIN Flag Cnt,5.0,0.7302184849430622,0.002369709603391805,5,0.0010597663520236283,0.0029423831007293244,0.7272761018423328,0.7331608680437915
cnn_lstm,binary,labels,FIN Flag Cnt,10.0,0.7297353230388455,0.0018436613608579626,5,0.0008245104260736348,0.0022892079366566903,0.7274461151021888,0.7320245309755021
cnn_lstm,binary,labels,FIN Flag Cnt,20.0,0.7236857464020825,0.006443836226031038,5,0.0028817711674562203,0.008001079452183953,0.7156846669498985,0.7316868258542665
cnn_lstm,binary,labels,FIN Flag Cnt,30.0,0.7303551211645907,0.0008937533317270847,5,0.00039969864097173617,0.001109741335280187,0.7292453798293105,0.7314648624998709
cnn_lstm,binary,labels,FIN Flag Cnt,50.0,0.7247746592771631,0.0,4,0.0,0.0,0.7247746592771631,0.7247746592771631
cnn_lstm,binary,labels,FIN Flag Cnt,75.0,0.7171538570805857,0.0,4,0.0,0.0,0.7171538570805857,0.7171538570805857
cnn_lstm,binary,labels,Protocol,1.0,0.725972072315777,0.003039274617479792,5,0.001359204929394897,0.003773757873179174,0.7221983144425979,0.7297458301889561
cnn_lstm,binary,labels,Protocol,5.0,0.7286856246544036,0.00949902611896368,5,0.004248093624409758,0.011794598749914426,0.7168910259044892,0.740480223404318
cnn_lstm,binary,labels,Protocol,10.0,0.722990497450312,0.0016472340277941602,5,0.000736665452199704,0.002045311188928187,0.7209451862613838,0.7250358086392401
cnn_lstm,binary,labels,Protocol,20.0,0.7287444333837787,0.004907490963832136,5,0.0021946966788189237,0.006093454851300655,0.7226509785324781,0.7348378882350793
cnn_lstm,binary,labels,Protocol,30.0,0.7059560007060699,0.021943707314422065,5,0.009813524246681417,0.027246711359438482,0.6787092893466314,0.7332027120655084
cnn_lstm,binary,labels,Protocol,50.0,0.7210341292188811,0.0,4,0.0,0.0,0.7210341292188811,0.7210341292188811
cnn_lstm,binary,labels,Protocol,75.0,0.7313378317564988,0.0,4,0.0,0.0,0.7313378317564988,0.7313378317564988
cnn_lstm,binary,missing,Down_Up Ratio,1.0,0.7391548005788853,0.012696559835492798,5,0.005678074174511089,0.015764861248771314,0.723389939330114,0.7549196618276566
cnn_lstm,binary,missing,Down_Up Ratio,5.0,0.7464831209027615,0.018313728209192828,5,0.00819014823944213,0.02273949699024343,0.723743623912518,0.769222617893005
cnn_lstm,binary,missing,Down_Up Ratio,10.0,0.7301527404102311,0.026593056967259002,5,0.011892776621663105,0.033019641438427276,0.6971330989718039,0.7631723818486584
cnn_lstm,binary,missing,Down_Up Ratio,20.0,0.7395774470458154,0.03289650323989225,5,0.014711763493288229,0.040846403739767695,0.6987310433060477,0.7804238507855831
cnn_lstm,binary,missing,Down_Up Ratio,30.0,0.7347333313726391,0.01935957323440278,5,0.008657864353502017,0.024038085105747134,0.710695246266892,0.7587714164783862
cnn_lstm,binary,missing,Down_Up Ratio,50.0,0.7271271904929754,0.0,4,0.0,0.0,0.7271271904929754,0.7271271904929754
cnn_lstm,binary,missing,Down_Up Ratio,75.0,0.6937369132122351,0.0,4,0.0,0.0,0.6937369132122351,0.6937369132122351
cnn_lstm,binary,missing,FIN Flag Cnt,1.0,0.72579076326004,0.02056887555778158,5,0.009198680793586704,0.02553963226363076,0.7002511309964092,0.7513303955236708
cnn_lstm,binary,missing,FIN Flag Cnt,5.0,0.7480078796481596,0.009274994602820566,5,0.0041479036845700895,0.011516426881856516,0.7364914527663031,0.7595243065300161
cnn_lstm,binary,missing,FIN Flag Cnt,10.0,0.7366900276913183,0.02677210982315748,5,0.011972851493133999,0.03324196492337198,0.7034480627679464,0.7699319926146903
cnn_lstm,binary,missing,FIN Flag Cnt,20.0,0.7484281642839161,0.023978580575456994,5,0.010723547234135572,0.029773340228573045,0.7186548240553431,0.7782015045124892
cnn_lstm,binary,missing,FIN Flag Cnt,30.0,0.7271336868430032,0.025271791537626254,5,0.011301888758267247,0.031379073722381065,0.6957546131206221,0.7585127605653842
cnn_lstm,binary,missing,FIN Flag Cnt,50.0,0.6980197333730996,0.0,4,0.0,0.0,0.6980197333730996,0.6980197333730996
cnn_lstm,binary,missing,FIN Flag Cnt,75.0,0.7193439194383422,0.0,4,0.0,0.0,0.7193439194383422,0.7193439194383422
cnn_lstm,binary,missing,Protocol,1.0,0.7395691375467968,0.015579273739767141,5,0.006967263024439339,0.019344223320830176,0.7202249142259666,0.758913360867627
cnn_lstm,binary,missing,Protocol,5.0,0.7395826486942289,0.00906724024125538,5,0.004054993109553724,0.011258465770631217,0.7283241829235977,0.75084111446486
cnn_lstm,binary,missing,Protocol,10.0,0.7409536395057632,0.02294981124080665,5,0.010263467601046492,0.02849595438328167,0.7124576851224815,0.7694495938890449
cnn_lstm,binary,missing,Protocol,20.0,0.7454396231987717,0.01795333919492323,5,0.008028977372591938,0.022292014925876725,0.7231476082728949,0.7677316381246484
cnn_lstm,binary,missing,Protocol,30.0,0.7317298947984999,0.013348650658510574,5,0.005969698056065395,0.01657453894727155,0.7151553558512284,0.7483044337457715
cnn_lstm,binary,missing,Protocol,50.0,0.7210341292188811,0.0,4,0.0,0.0,0.7210341292188811,0.7210341292188811
cnn_lstm,binary,missing,Protocol,75.0,0.7313378317564988,0.0,4,0.0,0.0,0.7313378317564988,0.7313378317564988
cnn_lstm,binary,missing,Timestamp,1.0,0.7414999520399188,0.002099409184393962,5,0.0009388843297784579,0.00260676080176031,0.7388931912381586,0.7441067128416791
cnn_lstm,binary,missing,Timestamp,5.0,0.77847612887962,0.026127053226432155,5,0.0116843734132115,0.032441021370414304,0.7460351075092058,0.8109171502500343
cnn_lstm,binary,missing,Timestamp,10.0,0.7703238472192722,0.007800573162182498,5,0.0034885223708201116,0.0096856908608365,0.7606381563584357,0.7800095380801086
cnn_lstm,binary,missing,Timestamp,20.0,0.8076049218874978,1.2412670766236366e-16,5,5.551115123125783e-17,1.5412366411992026e-16,0.8076049218874977,0.8076049218874979
cnn_lstm,binary,missing,Timestamp,30.0,0.7503911148864791,0.0,5,0.0,0.0,0.7503911148864791,0.7503911148864791
cnn_lstm,binary,missing,Timestamp,50.0,0.7179803451608127,0.0,4,0.0,0.0,0.7179803451608127,0.7179803451608127
cnn_lstm,binary,missing,Timestamp,75.0,0.7783767094884785,0.0,4,0.0,0.0,0.7783767094884785,0.7783767094884785
cnn_lstm,binary,noise,Down_Up Ratio,1.0,0.7241184504795951,0.010094761536481535,5,0.004514514602444587,0.012534301970301236,0.7115841485092939,0.7366527524498964
cnn_lstm,binary,noise,Down_Up Ratio,5.0,0.7197366045404314,0.00993859229299675,5,0.0044446735935592474,0.012340392243039459,0.7073962122973919,0.7320769967834709
cnn_lstm,binary,noise,Down_Up Ratio,10.0,0.7194225949619758,0.004580346170781315,5,0.0020483930796695764,0.005687250939569629,0.7137353440224061,0.7251098459015455
cnn_lstm,binary,noise,Down_Up Ratio,20.0,0.7219853297586376,0.011800274067363,5,0.00527724299355032,0.014651975478382135,0.7073333542802555,0.7366373052370198
cnn_lstm,binary,noise,Down_Up Ratio,30.0,0.7179711520081582,0.0063356318700298194,5,0.002833380708360158,0.007866725998888416,0.7101044260092698,0.7258378780070466
cnn_lstm,binary,noise,Down_Up Ratio,50.0,0.7245346798898529,0.00674903011479426,4,0.00337451505739713,0.010739212976537734,0.7137954669133152,0.7352738928663906
cnn_lstm,binary,noise,Down_Up Ratio,75.0,0.6976795678799388,0.027159537018702305,4,0.013579768509351152,0.04321688411919262,0.6544626837607461,0.7408964519991315
cnn_lstm,binary,noise,FIN Flag Cnt,1.0,0.7125681963202581,0.002463130105180144,5,0.0011015452705218018,0.0030583799744940358,0.7095098163457642,0.7156265762947521
cnn_lstm,binary,noise,FIN Flag Cnt,5.0,0.7299959227283648,0.015388893171636612,5,0.00688212224605236,0.01910783462342492,0.7108880881049399,0.7491037573517897
cnn_lstm,binary,noise,FIN Flag Cnt,10.0,0.6992228323171126,0.024531960359106843,5,0.010971026196858611,0.030460451983264854,0.6687623803338477,0.7296832843003774
cnn_lstm,binary,noise,FIN Flag Cnt,20.0,0.7295682515116709,0.001846418569389186,5,0.0008257434872144264,0.002292631463225451,0.7272756200484455,0.7318608829748964
cnn_lstm,binary,noise,FIN Flag Cnt,30.0,0.7156958540620423,0.009609893979865477,5,0.00429767523910904,0.01193225938135405,0.7037635946806883,0.7276281134433963
cnn_lstm,binary,noise,FIN Flag Cnt,50.0,0.6980197333730996,0.0,4,0.0,0.0,0.6980197333730996,0.6980197333730996
cnn_lstm,binary,noise,FIN Flag Cnt,75.0,0.7193439194383422,0.0,4,0.0,0.0,0.7193439194383422,0.7193439194383422
cnn_lstm,binary,noise,Protocol,1.0,0.6012758829274741,0.17378656402475423,5,0.07771971414709397,0.21578451992107076,0.3854913630064034,0.8170604028485449
cnn_lstm,binary,noise,Protocol,5.0,0.5721946809867123,0.22013817417962736,5,0.09844878438166715,0.27333764550915274,0.2988570354775596,0.8455323264958651
cnn_lstm,binary,noise,Protocol,10.0,0.540346537796485,0.2517427757639554,5,0.11258279189053814,0.3125799414739865,0.22776659632249852,0.8529264792704715
cnn_lstm,binary,noise,Protocol,20.0,0.5287776219083253,0.278723324457554,5,0.12464886008036408,0.34608071743861146,0.18269690446971387,0.8748583393469368
cnn_lstm,binary,noise,Protocol,30.0,0.44382191475576044,0.3808855872293783,5,0.17033721293896315,0.4729319210974185,-0.029110006341658057,0.9167538358531789
cnn_lstm,binary,noise,Protocol,50.0,0.7210341292188811,0.0,4,0.0,0.0,0.7210341292188811,0.7210341292188811
cnn_lstm,binary,noise,Protocol,75.0,0.7313378317564988,0.0,4,0.0,0.0,0.7313378317564988,0.7313378317564988
cnn_lstm,binary,noise,Timestamp,1.0,0.7399667603496173,0.0,5,0.0,0.0,0.7399667603496173,0.7399667603496173
cnn_lstm,binary,noise,Timestamp,5.0,0.7604219112708562,0.0,5,0.0,0.0,0.7604219112708562,0.7604219112708562
cnn_lstm,binary,noise,Timestamp,10.0,0.791647923025442,0.0,5,0.0,0.0,0.791647923025442,0.791647923025442
cnn_lstm,binary,noise,Timestamp,20.0,0.8172765078726215,1.2412670766236366e-16,5,5.551115123125783e-17,1.5412366411992026e-16,0.8172765078726214,0.8172765078726216
cnn_lstm,binary,noise,Timestamp,30.0,0.7174546536564993,0.0,5,0.0,0.0,0.7174546536564993,0.7174546536564993
cnn_lstm,binary,noise,Timestamp,50.0,0.7187618736107177,0.0,4,0.0,0.0,0.7187618736107177,0.7187618736107177
cnn_lstm,binary,noise,Timestamp,75.0,0.7736528088873763,0.0,4,0.0,0.0,0.7736528088873763,0.7736528088873763
cnn_lstm,binary,outliers,Down_Up Ratio,1.0,0.7664268273200526,0.007115569444962446,5,0.0031821793955112954,0.00883514640652861,0.757591680913524,0.7752619737265812
cnn_lstm,binary,outliers,Down_Up Ratio,5.0,0.7473155182878741,0.0118787656802369,5,0.005312345509960247,0.014749435688248604,0.7325660825996255,0.7620649539761227
cnn_lstm,binary,outliers,Down_Up Ratio,10.0,0.7588796917588836,0.014251909072766415,5,0.006373647499170339,0.017696082401327647,0.7411836093575559,0.7765757741602113
cnn_lstm,binary,outliers,Down_Up Ratio,20.0,0.755584873228076,0.023235101625076228,5,0.010391053339557255,0.028850189182462925,0.726734684045613,0.784435062410539
cnn_lstm,binary,outliers,Down_Up Ratio,30.0,0.7381902814504493,0.03114156678614592,5,0.013926932051934387,0.03866736232601549,0.6995229191244338,0.7768576437764648
cnn_lstm,binary,outliers,Down_Up Ratio,50.0,0.7560610906126811,0.015208521253813797,4,0.007604260626906899,0.02420015113651423,0.7318609394761669,0.7802612417491953
cnn_lstm,binary,outliers,Down_Up Ratio,75.0,0.7523795841915841,0.01569570363170204,4,0.00784785181585102,0.024975367015769113,0.727404217175815,0.7773549512073532
cnn_lstm,binary,outliers,FIN Flag Cnt,1.0,0.7496204967941879,0.03010195415492671,5,0.013462003149199672,0.03737651274975271,0.7122439840444351,0.7869970095439406
