model,method,feature,noise_percentage,n,tn_mean,tn_ci,tn_delta,fp_mean,fp_ci,fp_delta,fn_mean,fn_ci,fn_delta,tp_mean,tp_ci,tp_delta,mcc_mean,mcc_ci,mcc_delta
cnn_lstm,outliers,Down_Up Ratio,1.0,5,22180.2,43.114536288631356,19.200000000000728,150.4,42.95511432847357,-19.599999999999994,1524.8,76.76958577555983,-217.20000000000005,3061.6,76.37798127213435,217.5999999999999,0.7664268273200526,0.00883514640652861,0.03612132208487673
cnn_lstm,outliers,Down_Up Ratio,5.0,5,22225.0,74.80445951785313,64.0,105.6,74.51846252466076,-64.4,1699.6,153.45379695324831,-42.40000000000009,2886.8,153.97985329998866,42.80000000000018,0.7473155182878741,0.014749435688248604,0.017010013052698225
cnn_lstm,outliers,Down_Up Ratio,10.0,5,22172.6,69.04701358291649,11.599999999998545,158.0,69.14407517086364,-12.0,1567.2,68.05066386449498,-174.79999999999995,3019.2,68.56414182311546,175.19999999999982,0.7588796917588836,0.017696082401327647,0.02857418652370769
cnn_lstm,outliers,Down_Up Ratio,20.0,5,22216.0,87.00069484685388,55.0,114.6,87.38350983172647,-55.400000000000006,1634.4,161.32221240769718,-107.59999999999991,2952.0,161.81697551137862,108.0,0.7555848732280759,0.028850189182462925,0.02527936799289998
cnn_lstm,outliers,Down_Up Ratio,30.0,5,22202.0,62.07699127975013,41.0,128.6,62.501473323933006,-41.400000000000006,1732.8,267.48336122100847,-9.200000000000045,2853.6,267.69970566731973,9.599999999999909,0.7381902814504493,0.03866736232601549,0.007884776215273392
cnn_lstm,outliers,Down_Up Ratio,50.0,4,22162.75,108.182697144088,1.75,168.25,108.182697144088,-1.75,1575.5,124.76988984544268,-166.5,3010.5,124.76988984544268,166.5,0.7560610906126811,0.02420015113651423,0.02575558537750522
cnn_lstm,outliers,Down_Up Ratio,75.0,4,22136.0,169.40860475548888,-25.0,195.0,169.40860475548888,25.0,1574.5,299.56862539232617,-167.5,3011.5,299.56862539232617,167.5,0.752379584191584,0.024975367015769113,0.022074078956408116
cnn_lstm,outliers,FIN Flag Cnt,1.0,5,22125.0,102.01310709873835,-36.0,205.6,102.69319447939661,35.599999999999994,1579.0,142.8183499382337,-163.0,3007.4,143.49843731889194,163.4000000000001,0.7496204967941879,0.03737651274975271,0.01931499155901195
cnn_lstm,outliers,FIN Flag Cnt,5.0,5,22275.4,33.32428165225453,114.40000000000146,55.2,32.64419427159628,-114.8,1594.8,151.659485886791,-147.20000000000005,2991.6,152.33957326744928,147.5999999999999,0.7711104350129818,0.01718827184912307,0.04080492977780592
cnn_lstm,outliers,FIN Flag Cnt,10.0,5,22224.4,53.7269030720022,63.400000000001455,106.2,53.04681569134394,-63.8,1568.2,15.64200975513988,-173.79999999999995,3018.2,14.961922374481627,174.19999999999982,0.7668846655795831,0.010725262548993648,0.036579160344407224
cnn_lstm,outliers,FIN Flag Cnt,20.0,5,22108.2,76.16978663372464,-52.79999999999927,222.4,75.48969925306639,52.400000000000006,1481.4,26.52340784567197,-260.5999999999999,3105.0,27.203495226330226,261.0,0.762060201737992,0.007196443955999383,0.03175469650281615
cnn_lstm,outliers,FIN Flag Cnt,30.0,5,22145.4,27.883582606988483,-15.599999999998545,185.2,28.563669987646733,15.199999999999989,1531.8,96.5724080534723,-210.20000000000005,3054.6,95.89232067281405,210.5999999999999,0.7599882293211909,0.010145507206585616,0.029682724086015022
cnn_lstm,outliers,FIN Flag Cnt,50.0,4,22226.0,0.0,65.0,105.0,0.0,-65.0,1751.0,0.0,9.0,2835.0,0.0,-9.0,0.7394403105666587,0.0,0.00913480533148281
cnn_lstm,outliers,FIN Flag Cnt,75.0,4,22231.0,0.0,70.0,100.0,0.0,-70.0,1649.0,0.0,-93.0,2937.0,0.0,93.0,0.7557080575664878,0.0,0.025402552331311945
cnn_lstm,outliers,Protocol,1.0,5,21764.8,760.33769157593,-396.2000000000007,565.8,759.6576041952717,395.79999999999995,1988.8,579.4344483208339,246.79999999999995,2597.6,578.7543609401755,-246.4000000000001,0.6343880107515063,0.20132246234730836,-0.0959174944836696
cnn_lstm,outliers,Protocol,5.0,5,22141.0,159.8205344546901,-20.0,189.6,159.14044707403184,19.599999999999994,2561.6,1607.7265678761164,819.5999999999999,2024.8,1607.0464804954581,-819.2,0.5532378597220331,0.3537684609407568,-0.1770676455131428
cnn_lstm,outliers,Protocol,10.0,5,22033.0,326.4419427159627,-128.0,297.6,325.76185533530446,127.60000000000002,2471.8,1279.924450398837,729.8000000000002,2114.6,1279.2443630181788,-729.4000000000001,0.5675843138241804,0.3001954346918308,-0.1627211914109955
cnn_lstm,outliers,Protocol,20.0,5,22267.6,70.72908758845858,106.59999999999854,63.0,71.40917496911685,-107.0,2887.8,1922.607025120889,1145.8000000000002,1698.6,1921.9269377402304,-1145.4,0.45243278381021457,0.48641933436989787,-0.27787272142496133
cnn_lstm,outliers,Protocol,30.0,5,22236.4,77.52996139504114,75.40000000000146,94.2,76.84987401438289,-75.8,2724.4,1765.5068401888318,982.4000000000001,1862.0,1764.8267528081733,-982.0,0.5233502719196113,0.39985515795244414,-0.20695523331556465
