model,method,feature,noise_percentage,n_pairs,median_delta,mean_delta,p_value,significant
cnn_lstm,duplicated,Timestamp,5.0,5,-0.0023137752533676226,-0.0023137752533676226,0.0625,False
cnn_lstm,duplicated,Timestamp,10.0,5,-0.007539333844667984,-0.007539333844667984,0.0625,False
cnn_lstm,duplicated,Timestamp,20.0,5,-0.014985712480039326,-0.014985712480039326,0.0625,False
cnn_lstm,duplicated,Timestamp,30.0,5,-0.00344642816543117,-0.00344642816543117,0.0625,False
cnn_lstm,duplicated,Timestamp,75.0,3,0.00017469019733140634,0.00017469019733140634,0.25,False
cnn_lstm,labels,FIN Flag Cnt,5.0,5,0.02163912231723708,0.015578306591573887,0.0625,False
cnn_lstm,labels,FIN Flag Cnt,10.0,5,0.02422964627322277,0.01509514468735711,0.0625,False
cnn_lstm,labels,FIN Flag Cnt,20.0,5,0.012133312047917566,0.009045568050594133,0.0625,False
cnn_lstm,labels,FIN Flag Cnt,30.0,5,0.024115704923979187,0.015714942813102307,0.0625,False
cnn_lstm,labels,FIN Flag Cnt,50.0,4,0.017925887857357048,0.013133044139984063,0.25,False
cnn_lstm,labels,FIN Flag Cnt,75.0,4,0.01030508566077959,0.005512241943406604,0.25,False
cnn_lstm,labels,Protocol,5.0,5,0.007431087822947435,0.002713552338626646,0.25,False
cnn_lstm,labels,Protocol,10.0,5,-0.003998177574709771,-0.002981574865464953,0.0625,False
cnn_lstm,labels,Protocol,20.0,5,0.004136713381597823,0.0027723610680017385,0.0625,False
cnn_lstm,labels,Protocol,30.0,5,-0.006210225976435724,-0.020016071609707066,0.0625,False
cnn_lstm,labels,Protocol,50.0,4,-0.007157515452157925,-0.0057702827301191195,0.125,False
cnn_lstm,labels,Protocol,75.0,4,0.003146187085459773,0.004533419807498579,0.125,False
cnn_lstm,missing,Down_Up Ratio,5.0,5,0.0032261205537693627,0.00732832032387618,0.0625,False
cnn_lstm,missing,Down_Up Ratio,10.0,5,-0.019150626767819756,-0.00900206016865417,0.25,False
cnn_lstm,missing,Down_Up Ratio,20.0,5,-0.01432930641695973,0.00042264646692997677,0.625,False
cnn_lstm,missing,Down_Up Ratio,30.0,5,-0.009287446192302484,-0.004421469206246265,0.25,False
cnn_lstm,missing,Down_Up Ratio,50.0,4,-0.0027553537864253297,-0.008550513973603235,0.125,False
cnn_lstm,missing,Down_Up Ratio,75.0,4,-0.03614563106716562,-0.041940791254343524,0.125,False
cnn_lstm,missing,FIN Flag Cnt,5.0,5,0.030465000869199788,0.022217116388119608,0.0625,False
cnn_lstm,missing,FIN Flag Cnt,10.0,5,0.0063690626490978675,0.010899264431278356,0.0625,False
cnn_lstm,missing,FIN Flag Cnt,20.0,5,0.02014730455371705,0.022637401023876215,0.0625,False
cnn_lstm,missing,FIN Flag Cnt,30.0,5,-0.0020916006413200794,0.0013429235829631736,0.625,False
cnn_lstm,missing,FIN Flag Cnt,50.0,4,-0.012749647052922142,-0.0221380113241835,0.125,False
cnn_lstm,missing,FIN Flag Cnt,75.0,4,0.008574539012320415,-0.0008138252589409423,1.0,False
cnn_lstm,missing,Protocol,5.0,5,0.004769228003917658,1.3511147432088144e-05,0.625,False
cnn_lstm,missing,Protocol,10.0,5,-0.003998177574709771,0.0013845019589663553,0.625,False
cnn_lstm,missing,Protocol,20.0,5,0.004136713381597823,0.005870485651974833,0.0625,False
cnn_lstm,missing,Protocol,30.0,5,-0.006210225976435724,-0.007839242748296926,0.0625,False
cnn_lstm,missing,Protocol,50.0,4,-0.007157515452157925,-0.014268448499506536,0.125,False
cnn_lstm,missing,Protocol,75.0,4,0.003146187085459773,-0.003964745961888838,1.0,False
cnn_lstm,missing,Timestamp,5.0,5,0.01942886664566279,0.03697617683970136,0.0625,False
cnn_lstm,missing,Timestamp,10.0,5,0.024660353693125914,0.028823895179353465,0.0625,False
cnn_lstm,missing,Timestamp,20.0,5,0.0676381615378806,0.06610496984757915,0.0625,False
cnn_lstm,missing,Timestamp,30.0,5,0.010424354536861857,0.008891162846560396,0.0625,False
cnn_lstm,missing,Timestamp,50.0,4,-0.02198641518880462,-0.022944659995243033,0.125,False
cnn_lstm,missing,Timestamp,75.0,4,0.0384099491388612,0.037451704332422786,0.125,False
cnn_lstm,noise,Down_Up Ratio,5.0,5,-0.004477856431391203,-0.004381845939163775,0.4375,False
cnn_lstm,noise,Down_Up Ratio,10.0,5,-0.0069840126421886195,-0.0046958555176193515,0.3125,False
cnn_lstm,noise,Down_Up Ratio,20.0,5,3.910948572194428e-05,-0.0021331207209575264,1.0,False
cnn_lstm,noise,Down_Up Ratio,30.0,5,-0.00976174353134951,-0.0061472984714369796,0.1875,False
cnn_lstm,noise,Down_Up Ratio,50.0,4,0.003940746611759638,0.002972561769650356,0.625,False
cnn_lstm,noise,Down_Up Ratio,75.0,4,-0.013893076665944637,-0.023882550240263728,0.125,False
cnn_lstm,noise,FIN Flag Cnt,5.0,5,0.030465000869199788,0.01742772640810668,0.25,False
cnn_lstm,noise,FIN Flag Cnt,10.0,5,0.0063690626490978675,-0.013345364003145588,0.625,False
cnn_lstm,noise,FIN Flag Cnt,20.0,5,0.02014730455371705,0.0170000551914129,0.0625,False
