model,method,feature,noise_percentage,n,baseline,median_value,median_delta,mean_delta,p_value,significant
cnn_lstm,duplicated,Timestamp,1.0,5,0.7303055052351759,0.7268713905085948,-0.003434114726581061,-0.003434114726581061,0.0625,False
cnn_lstm,duplicated,Timestamp,5.0,5,0.7303055052351759,0.7245576152552272,-0.005747889979948684,-0.005747889979948684,0.0625,False
cnn_lstm,duplicated,Timestamp,10.0,5,0.7303055052351759,0.7193320566639269,-0.010973448571249045,-0.010973448571249045,0.0625,False
cnn_lstm,duplicated,Timestamp,20.0,5,0.7303055052351759,0.7118856780285555,-0.018419827206620387,-0.018419827206620387,0.0625,False
cnn_lstm,duplicated,Timestamp,30.0,5,0.7303055052351759,0.7234249623431637,-0.006880542892012231,-0.006880542892012231,0.0625,False
cnn_lstm,duplicated,Timestamp,75.0,3,0.7303055052351759,0.7270460807059262,-0.003259424529249655,-0.003259424529249655,0.25,False
cnn_lstm,labels,FIN Flag Cnt,1.0,5,0.7303055052351759,0.7068487714198061,-0.023456733815369835,-0.015665326883687557,0.0625,False
cnn_lstm,labels,FIN Flag Cnt,5.0,5,0.7303055052351759,0.7284878937370431,-0.001817611498132754,-8.70202921136709e-05,0.625,False
cnn_lstm,labels,FIN Flag Cnt,10.0,5,0.7303055052351759,0.7310784176930288,0.0007729124578529367,-0.0005701821963304488,0.8125,False
cnn_lstm,labels,FIN Flag Cnt,20.0,5,0.7303055052351759,0.7189820834677236,-0.011323421767452269,-0.006619758833093426,0.25,False
cnn_lstm,labels,FIN Flag Cnt,30.0,5,0.7303055052351759,0.7309644763437853,0.0006589711086093519,4.9615929414748015e-05,0.8125,False
cnn_lstm,labels,FIN Flag Cnt,50.0,4,0.7303055052351759,0.7247746592771631,-0.005530845958012787,-0.005530845958012787,0.125,False
cnn_lstm,labels,FIN Flag Cnt,75.0,4,0.7303055052351759,0.7171538570805857,-0.013151648154590245,-0.013151648154590245,0.125,False
cnn_lstm,labels,Protocol,1.0,5,0.7303055052351759,0.728191644671039,-0.0021138605641368713,-0.0043334329193989605,0.0625,False
cnn_lstm,labels,Protocol,5.0,5,0.7303055052351759,0.7356227324939865,0.005317227258810564,-0.001619880580772315,0.625,False
cnn_lstm,labels,Protocol,10.0,5,0.7303055052351759,0.7241934670963293,-0.006112038138846643,-0.0073150077848639136,0.0625,False
cnn_lstm,labels,Protocol,20.0,5,0.7303055052351759,0.7323283580526369,0.0020228528174609517,-0.001561071851397222,0.625,False
cnn_lstm,labels,Protocol,30.0,5,0.7303055052351759,0.7219814186946033,-0.008324086540572595,-0.024349504529106024,0.0625,False
cnn_lstm,labels,Protocol,50.0,4,0.7303055052351759,0.7210341292188811,-0.009271376016294797,-0.009271376016294797,0.125,False
cnn_lstm,labels,Protocol,75.0,4,0.7303055052351759,0.7313378317564988,0.0010323265213229016,0.0010323265213229016,0.125,False
cnn_lstm,missing,Down_Up Ratio,1.0,5,0.7303055052351759,0.7298825442794007,-0.000422960955775209,0.00884929534370944,0.625,False
cnn_lstm,missing,Down_Up Ratio,5.0,5,0.7303055052351759,0.73310866483317,0.0028031595979941537,0.01617761566758562,0.0625,False
cnn_lstm,missing,Down_Up Ratio,10.0,5,0.7303055052351759,0.7107319175115809,-0.019573587723594965,-0.00015276482494472888,0.625,False
cnn_lstm,missing,Down_Up Ratio,20.0,5,0.7303055052351759,0.715553237862441,-0.01475226737273494,0.009271941810639417,0.625,False
cnn_lstm,missing,Down_Up Ratio,30.0,5,0.7303055052351759,0.7205950980870982,-0.009710407148077693,0.0044278261374631755,0.625,False
cnn_lstm,missing,Down_Up Ratio,50.0,4,0.7303055052351759,0.7271271904929754,-0.0031783147422005387,-0.0031783147422005387,0.125,False
cnn_lstm,missing,Down_Up Ratio,75.0,4,0.7303055052351759,0.6937369132122351,-0.03656859202294083,-0.03656859202294083,0.125,False
cnn_lstm,missing,FIN Flag Cnt,1.0,5,0.7303055052351759,0.7107693804260218,-0.01953612480915412,-0.0045147419751359495,0.25,False
cnn_lstm,missing,FIN Flag Cnt,5.0,5,0.7303055052351759,0.7412343812952216,0.010928876060045667,0.017702374412983658,0.0625,False
cnn_lstm,missing,FIN Flag Cnt,10.0,5,0.7303055052351759,0.7171384430751196,-0.013167062160056253,0.006384522456142405,0.625,False
cnn_lstm,missing,FIN Flag Cnt,20.0,5,0.7303055052351759,0.7309166849797388,0.0006111797445629286,0.018122659048740265,0.0625,False
cnn_lstm,missing,FIN Flag Cnt,30.0,5,0.7303055052351759,0.7086777797847017,-0.0216277254504742,-0.003171818392172776,0.625,False
cnn_lstm,missing,FIN Flag Cnt,50.0,4,0.7303055052351759,0.6980197333730996,-0.03228577186207626,-0.03228577186207626,0.125,False
cnn_lstm,missing,FIN Flag Cnt,75.0,4,0.7303055052351759,0.7193439194383422,-0.010961585796833706,-0.010961585796833706,0.125,False
cnn_lstm,missing,Protocol,1.0,5,0.7303055052351759,0.728191644671039,-0.0021138605641368713,0.009263632311620907,0.625,False
cnn_lstm,missing,Protocol,5.0,5,0.7303055052351759,0.7329608726749567,0.002655367439780787,0.009277143459052995,0.0625,False
cnn_lstm,missing,Protocol,10.0,5,0.7303055052351759,0.7241934670963293,-0.006112038138846643,0.010648134270587261,0.625,False
cnn_lstm,missing,Protocol,20.0,5,0.7303055052351759,0.7323283580526369,0.0020228528174609517,0.015134117963595739,0.0625,False
cnn_lstm,missing,Protocol,30.0,5,0.7303055052351759,0.7219814186946033,-0.008324086540572595,0.00142438956332398,0.625,False
cnn_lstm,missing,Protocol,50.0,4,0.7303055052351759,0.7210341292188811,-0.009271376016294797,-0.009271376016294797,0.125,False
cnn_lstm,missing,Protocol,75.0,4,0.7303055052351759,0.7313378317564988,0.0010323265213229016,0.0010323265213229016,0.125,False
cnn_lstm,missing,Timestamp,1.0,5,0.7303055052351759,0.7399667603496173,0.00966125511444138,0.011194446804742842,0.0625,False
cnn_lstm,missing,Timestamp,5.0,5,0.7303055052351759,0.7593956269952801,0.02909012176010417,0.0481706236444442,0.0625,False
cnn_lstm,missing,Timestamp,10.0,5,0.7303055052351759,0.7646271140427432,0.034321608807567294,0.0400183419840963,0.0625,False
cnn_lstm,missing,Timestamp,20.0,5,0.7303055052351759,0.8076049218874979,0.07729941665232198,0.07729941665232198,0.0625,False
cnn_lstm,missing,Timestamp,30.0,5,0.7303055052351759,0.7503911148864791,0.020085609651303238,0.020085609651303238,0.0625,False
cnn_lstm,missing,Timestamp,50.0,4,0.7303055052351759,0.7179803451608127,-0.01232516007436324,-0.01232516007436324,0.125,False
cnn_lstm,missing,Timestamp,75.0,4,0.7303055052351759,0.7783767094884785,0.04807120425330258,0.04807120425330258,0.125,False
cnn_lstm,noise,Down_Up Ratio,1.0,5,0.7303055052351759,0.723065636513815,-0.007239868721360954,-0.0061870547555807455,0.3125,False
cnn_lstm,noise,Down_Up Ratio,5.0,5,0.7303055052351759,0.71792407454067,-0.012381430694505924,-0.010568900694744521,0.0625,False
cnn_lstm,noise,Down_Up Ratio,10.0,5,0.7303055052351759,0.7176031698996984,-0.012702335335477488,-0.010882910273200097,0.0625,False
cnn_lstm,noise,Down_Up Ratio,20.0,5,0.7303055052351759,0.7191128234348609,-0.011192681800314963,-0.008320175476538271,0.3125,False
cnn_lstm,noise,Down_Up Ratio,30.0,5,0.7303055052351759,0.715974604723839,-0.014330900511336897,-0.012334353227017725,0.0625,False
cnn_lstm,noise,Down_Up Ratio,50.0,4,0.7303055052351759,0.72417660481885,-0.0061289004163258,-0.005770825345323083,0.25,False
cnn_lstm,noise,Down_Up Ratio,75.0,4,0.7303055052351759,0.7110612127307704,-0.019244292504405514,-0.03262593735523717,0.125,False
cnn_lstm,noise,FIN Flag Cnt,1.0,5,0.7303055052351759,0.7107693804260218,-0.01953612480915412,-0.017737308914917805,0.0625,False
cnn_lstm,noise,FIN Flag Cnt,5.0,5,0.7303055052351759,0.7412343812952216,0.010928876060045667,-0.00030958250681112354,0.625,False
cnn_lstm,noise,FIN Flag Cnt,10.0,5,0.7303055052351759,0.7171384430751196,-0.013167062160056253,-0.03108267291806339,0.0625,False
cnn_lstm,noise,FIN Flag Cnt,20.0,5,0.7303055052351759,0.7309166849797388,0.0006111797445629286,-0.0007372537235049049,0.625,False
cnn_lstm,noise,FIN Flag Cnt,30.0,5,0.7303055052351759,0.7086777797847017,-0.0216277254504742,-0.014609651173133642,0.0625,False
cnn_lstm,noise,FIN Flag Cnt,50.0,4,0.7303055052351759,0.6980197333730996,-0.03228577186207626,-0.03228577186207626,0.125,False
cnn_lstm,noise,FIN Flag Cnt,75.0,4,0.7303055052351759,0.7193439194383422,-0.010961585796833706,-0.010961585796833706,0.125,False
cnn_lstm,noise,Protocol,1.0,5,0.7303055052351759,0.728191644671039,-0.0021138605641368713,-0.1290296223077018,0.0625,False
cnn_lstm,noise,Protocol,5.0,5,0.7303055052351759,0.7329608726749567,0.002655367439780787,-0.1581108242484635,0.625,False
cnn_lstm,noise,Protocol,10.0,5,0.7303055052351759,0.7241934670963293,-0.006112038138846643,-0.1899589674386909,0.0625,False
cnn_lstm,noise,Protocol,20.0,5,0.7303055052351759,0.7323283580526369,0.0020228528174609517,-0.20152788332685062,0.625,False
cnn_lstm,noise,Protocol,30.0,5,0.7303055052351759,0.7219814186946033,-0.008324086540572595,-0.28648359047941546,0.0625,False
cnn_lstm,noise,Protocol,50.0,4,0.7303055052351759,0.7210341292188811,-0.009271376016294797,-0.009271376016294797,0.125,False
cnn_lstm,noise,Protocol,75.0,4,0.7303055052351759,0.7313378317564988,0.0010323265213229016,0.0010323265213229016,0.125,False
cnn_lstm,noise,Timestamp,1.0,5,0.7303055052351759,0.7399667603496173,0.00966125511444138,0.00966125511444138,0.0625,False
cnn_lstm,noise,Timestamp,5.0,5,0.7303055052351759,0.7604219112708562,0.030116406035680332,0.030116406035680332,0.0625,False
cnn_lstm,noise,Timestamp,10.0,5,0.7303055052351759,0.791647923025442,0.06134241779026606,0.06134241779026606,0.0625,False
cnn_lstm,noise,Timestamp,20.0,5,0.7303055052351759,0.8172765078726214,0.0869710026374455,0.0869710026374455,0.0625,False
cnn_lstm,noise,Timestamp,30.0,5,0.7303055052351759,0.7174546536564993,-0.012850851578676603,-0.012850851578676603,0.0625,False
cnn_lstm,noise,Timestamp,50.0,4,0.7303055052351759,0.7187618736107177,-0.01154363162445815,-0.01154363162445815,0.125,False
cnn_lstm,noise,Timestamp,75.0,4,0.7303055052351759,0.7736528088873763,0.04334730365220041,0.04334730365220041,0.125,False
cnn_lstm,outliers,Down_Up Ratio,1.0,5,0.7303055052351759,0.7673468976301855,0.03704139239500959,0.036121322084876686,0.0625,False
cnn_lstm,outliers,Down_Up Ratio,5.0,5,0.7303055052351759,0.7451565278118389,0.014851022576663042,0.01701001305269818,0.125,False
cnn_lstm,outliers,Down_Up Ratio,10.0,5,0.7303055052351759,0.7670561726342725,0.036750667399096604,0.0285741865237076,0.0625,False
cnn_lstm,outliers,Down_Up Ratio,20.0,5,0.7303055052351759,0.7545041013710289,0.024198596135852957,0.025279367992900027,0.125,False
