model,task,method,feature,noise_percentage,mean,std,n,sem,ci_half,ci_low,ci_high
cnn_lstm,binary,labels,Label+label_generic,5.0,0.9338103853926416,0.0036332217244660243,20,0.0008124130753235041,0.0017004001087679232,0.9321099852838737,0.9355107855014095
cnn_lstm,binary,labels,Label+label_generic,10.0,0.9343990790124099,0.0030847251320567817,20,0.0006897655087180979,0.0014436958016481628,0.9329553832107618,0.9358427748140581
cnn_lstm,binary,labels,Label+label_generic,20.0,0.9320956322892329,0.003660266350334002,20,0.0008184604375101888,0.0017130573832903736,0.9303825749059424,0.9338086896725233
cnn_lstm,binary,labels,Label+label_generic,35.0,0.9329833266007942,0.003116987047559359,20,0.0006969794923329097,0.0014587948428820715,0.9315245317579122,0.9344421214436762
cnn_lstm,binary,labels,Label+label_generic,50.0,0.9285424398416084,0.009116723151052539,20,0.0020385612697799557,0.004266757774034593,0.9242756820675738,0.9328091976156431
cnn_lstm,binary,labels,Label+label_generic,75.0,0.9322499773407266,0.004136435984618549,20,0.000924935204618335,0.0019359116320352462,0.9303140657086914,0.9341858889727618
cnn_lstm,binary,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,5.0,0.9332639744374454,0.005246548270469661,20,0.0011731638580004112,0.002455460174557314,0.930808514262888,0.9357194346120027
cnn_lstm,binary,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,10.0,0.932707266963099,0.004057524611531361,20,0.000907290085176255,0.001898979972600065,0.930808286990499,0.934606246935699
cnn_lstm,binary,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,20.0,0.9325328631260594,0.003543026672651241,20,0.000792244848614307,0.0016581875251308136,0.9308746756009286,0.9341910506511902
cnn_lstm,binary,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,35.0,0.9321633643679004,0.005403395052829753,20,0.0012082358647413395,0.0025288667283024473,0.9296344976395979,0.9346922310962028
cnn_lstm,binary,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,50.0,0.9311512060509297,0.0043889216976088306,20,0.000981392726377712,0.002054078583129903,0.9290971274677998,0.9332052846340596
cnn_lstm,binary,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,75.0,0.930213541795648,0.004038947029131549,20,0.0009031360114658966,0.0018902853964004997,0.9283232563992475,0.9321038271920484
cnn_lstm,binary,missing,FwdActDataPkts+DstPort+InitFwdWinByts,5.0,0.9328704088005161,0.005596961118706769,20,0.0012515185528851605,0.002619458435726918,0.9302509503647891,0.9354898672362431
cnn_lstm,binary,missing,FwdActDataPkts+DstPort+InitFwdWinByts,10.0,0.9320322516348094,0.0068770573169284884,20,0.0015377567645814415,0.0032185618980980516,0.9288136897367113,0.9352508135329075
cnn_lstm,binary,missing,FwdActDataPkts+DstPort+InitFwdWinByts,20.0,0.9317055803566925,0.004810212436177963,20,0.0010755961993508794,0.002251248718071545,0.9294543316386209,0.9339568290747641
cnn_lstm,binary,missing,FwdActDataPkts+DstPort+InitFwdWinByts,35.0,0.9281697917140246,0.008069628140719291,20,0.0018044237075793572,0.0037767022243082185,0.9243930894897163,0.9319464939383328
cnn_lstm,binary,missing,FwdActDataPkts+DstPort+InitFwdWinByts,50.0,0.9303035563825492,0.009525714633376686,20,0.0021300145454494755,0.004458171679865332,0.925845384702684,0.9347617280624145
