model,task,method,feature,noise_percentage,mean,std,n,sem,ci_half,ci_low,ci_high
cnn_lstm,binary,labels,Label+label_generic,5.0,0.7500111684295023,0.014927976731284537,20,0.0033379970737687334,0.006986508168942505,0.7430246602605598,0.7569976765984449
cnn_lstm,binary,labels,Label+label_generic,10.0,0.7522865072340431,0.012923006894776769,20,0.0028896721890419325,0.006048153401019479,0.7462383538330236,0.7583346606350626
cnn_lstm,binary,labels,Label+label_generic,20.0,0.7427562081392184,0.01466546866092592,20,0.0032792984847723173,0.006863650610213179,0.7358925575290052,0.7496198587494316
cnn_lstm,binary,labels,Label+label_generic,35.0,0.7465763821290596,0.012702427677284862,20,0.0028403491765683713,0.005944919149476434,0.7406314629795832,0.7525213012785361
cnn_lstm,binary,labels,Label+label_generic,50.0,0.7278554829058355,0.038537033362494845,20,0.008617142624971576,0.018035886794332663,0.7098195961115028,0.7458913697001681
cnn_lstm,binary,labels,Label+label_generic,75.0,0.7438345364674921,0.01714049432542966,20,0.003832731047961012,0.008021998277459964,0.7358125381900321,0.7518565347449521
cnn_lstm,binary,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,5.0,0.7475075886917307,0.021241539187954763,20,0.004749752557099253,0.009941346354496111,0.7375662423372347,0.7574489350462268
cnn_lstm,binary,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,10.0,0.7452908611179311,0.016655358804279874,20,0.0037242514476019412,0.007794947864495828,0.7374959132534352,0.7530858089824269
cnn_lstm,binary,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,20.0,0.744523290154558,0.014708428988387583,20,0.00328890470602631,0.006883756662369754,0.7376395334921882,0.7514070468169277
cnn_lstm,binary,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,35.0,0.7432289160204326,0.022213902769611167,20,0.004967179663842141,0.01039642651898938,0.7328324895014432,0.753625342539422
cnn_lstm,binary,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,50.0,0.73895150319621,0.01815378976179285,20,0.004059310795660853,0.008496235139637497,0.7304552680565725,0.7474477383358474
cnn_lstm,binary,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,75.0,0.7349760062034328,0.017015193015562247,20,0.003804712823307682,0.007963355459298728,0.7270126507441341,0.7429393616627316
cnn_lstm,binary,missing,FwdActDataPkts+DstPort+InitFwdWinByts,5.0,0.7460917309683139,0.022850251450358565,20,0.005109471554596491,0.010694246869085471,0.7353974840992284,0.7567859778373994
cnn_lstm,binary,missing,FwdActDataPkts+DstPort+InitFwdWinByts,10.0,0.7425308183449578,0.02761039470732363,20,0.006173871945117604,0.012922062489967759,0.7296087558549901,0.7554528808349256
cnn_lstm,binary,missing,FwdActDataPkts+DstPort+InitFwdWinByts,20.0,0.7407712263350988,0.020156849827002186,20,0.004507208642543176,0.009433696107079888,0.731337530228019,0.7502049224421787
cnn_lstm,binary,missing,FwdActDataPkts+DstPort+InitFwdWinByts,35.0,0.7277995159821556,0.03303080839937912,20,0.007385913293278273,0.015458894186605515,0.7123406217955501,0.7432584101687612
cnn_lstm,binary,missing,FwdActDataPkts+DstPort+InitFwdWinByts,50.0,0.7364912041532695,0.0403275273183913,20,0.009017509244840275,0.018873863760299998,0.7176173403929695,0.7553650679135695
cnn_lstm,binary,missing,FwdActDataPkts+DstPort+InitFwdWinByts,75.0,0.6924552174325846,0.049856475315837936,20,0.011148246792475391,0.023333548701131267,0.6691216687314534,0.7157887661337159
cnn_lstm,binary,missing,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,5.0,0.7377737996111591,0.01961115855967731,20,0.004385188365696533,0.009178304732514303,0.7285954948786447,0.7469521043436734
cnn_lstm,binary,missing,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,0.7338329292042035,0.03360239224566142,20,0.007513723326791073,0.015726403661142536,0.718106525543061,0.749559332865346
