model,method,feature,noise_percentage,n,baseline,median_value,median_delta,mean_delta,p_value,significant
cnn_lstm,labels,Label+label_generic,5.0,20,0.7373443625996885,0.7479831872572498,0.010638824657561274,0.012666805829813877,0.000850677490234375,True
cnn_lstm,labels,Label+label_generic,10.0,20,0.7373443625996885,0.7528617161082682,0.01551735350857969,0.014942144634354592,8.20159912109375e-05,True
cnn_lstm,labels,Label+label_generic,20.0,20,0.7373443625996885,0.7400510180857323,0.0027066554860438186,0.005411845539529903,0.2305126190185547,False
cnn_lstm,labels,Label+label_generic,35.0,20,0.7373443625996885,0.7499453525426721,0.012600989942983642,0.009232019529371121,0.00485992431640625,True
cnn_lstm,labels,Label+label_generic,50.0,20,0.7373443625996885,0.7468785674869527,0.009534204887264253,-0.009488879693853008,0.7841262817382812,False
cnn_lstm,labels,Label+label_generic,75.0,20,0.7373443625996885,0.747610312303902,0.010265949704213462,0.006490173867803667,0.04844093322753906,True
cnn_lstm,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,5.0,20,0.7373443625996885,0.7450340017038135,0.007689639104124957,0.010163226092042187,0.05316925048828125,False
cnn_lstm,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,10.0,20,0.7373443625996885,0.7449676135159264,0.007623250916237889,0.007946498518242567,0.058258056640625,False
cnn_lstm,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,20.0,20,0.7373443625996885,0.7480394873176,0.010695124717911508,0.0071789275548694576,0.05316925048828125,False
cnn_lstm,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,35.0,20,0.7373443625996885,0.7475634129990192,0.010219050399330687,0.005884553420744126,0.15364646911621094,False
cnn_lstm,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,50.0,20,0.7373443625996885,0.7368044904059243,-0.0005398721937641682,0.0016071405965215279,0.5216732025146484,False
cnn_lstm,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,75.0,20,0.7373443625996885,0.7325294402062377,-0.004814922393450771,-0.0023683563962556666,0.4523754119873047,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts,5.0,20,0.7373443625996885,0.7472527959429134,0.009908433343224887,0.008747368368625514,0.03623390197753906,True
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts,10.0,20,0.7373443625996885,0.7448105054480147,0.0074661428483262515,0.0051864557452693414,0.24548721313476562,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts,20.0,20,0.7373443625996885,0.7394988748720646,0.002154512272376119,0.0034268637354103572,0.3299827575683594,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts,35.0,20,0.7373443625996885,0.7250849588209705,-0.012259403778717981,-0.009544846617532837,0.14290618896484375,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts,50.0,20,0.7373443625996885,0.7399977923023373,0.0026534297026487574,-0.0008531584464189779,0.8983173370361328,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts,75.0,20,0.7373443625996885,0.6906334405164114,-0.04671092208327715,-0.04488914516710383,0.0010166168212890625,True
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,5.0,20,0.7373443625996885,0.7377986771644187,0.00045431456473016274,0.00042943701147063473,0.8408222198486328,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,20,0.7373443625996885,0.7338299295087618,-0.003514433090926694,-0.0035114333954849976,0.8694877624511719,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,20,0.7373443625996885,0.7438786891151543,0.00653432651546576,0.009875119489359856,0.15364646911621094,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,20,0.7373443625996885,0.7284091269753781,-0.008935235624310478,-0.0025563495378358946,0.7561664581298828,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,50.0,20,0.7373443625996885,0.7143672444244322,-0.022977118175256217,-0.021918754441143322,0.03623390197753906,True
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,75.0,20,0.7373443625996885,0.6220150825369746,-0.11532928006271392,-0.11680959839141598,1.9073486328125e-06,True
cnn_lstm,missing,FwdActDataPkts+IdleMean+InitFwdWinByts,5.0,20,0.7373443625996885,0.740989384732132,0.0036450221324434984,0.0016049109362368085,0.6476554870605469,False
cnn_lstm,missing,FwdActDataPkts+IdleMean+InitFwdWinByts,10.0,20,0.7373443625996885,0.7428737607403513,0.005529398140662833,0.006459368777162794,0.15364646911621094,False
cnn_lstm,missing,FwdActDataPkts+IdleMean+InitFwdWinByts,20.0,20,0.7373443625996885,0.745462340580194,0.008117977980505509,-0.0011328467149186062,0.2942523956298828,False
cnn_lstm,missing,FwdActDataPkts+IdleMean+InitFwdWinByts,35.0,20,0.7373443625996885,0.7377671182516218,0.000422755651933282,-0.006081551988846146,0.8123550415039062,False
cnn_lstm,missing,FwdActDataPkts+IdleMean+InitFwdWinByts,50.0,20,0.7373443625996885,0.7385045378277564,0.001160175228067828,-0.008613370472605575,0.38837623596191406,False
cnn_lstm,missing,FwdActDataPkts+IdleMean+InitFwdWinByts,75.0,19,0.7373443625996885,0.7123465636429245,-0.024997798956764017,-0.02570517717155448,0.0016937255859375,True
cnn_lstm,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,5.0,19,0.7373443625996885,0.7448437555573056,0.007499392957617146,0.0022537335650305696,0.37359619140625,False
cnn_lstm,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,10.0,20,0.7373443625996885,0.7406192585475506,0.0032748959478620665,0.003445283615270289,0.38837623596191406,False
cnn_lstm,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,20.0,20,0.7373443625996885,0.7407209230705436,0.003376560470855161,-0.005935842395618679,0.956329345703125,False
cnn_lstm,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,35.0,20,0.7373443625996885,0.7338258070630439,-0.003518555536644652,-9.486253273341405e-05,0.9272785186767578,False
cnn_lstm,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,50.0,20,0.7373443625996885,0.7379227920307302,0.0005784294310416938,-0.014901121038932087,0.47490501403808594,False
cnn_lstm,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,75.0,20,0.7373443625996885,0.7312078807830724,-0.006136481816616135,-0.0037449426208421566,0.7285060882568359,False
cnn_lstm,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,5.0,20,0.7373443625996885,0.7407515918519256,0.003407229252237187,0.004522162105746375,0.4523754119873047,False
cnn_lstm,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,20,0.7373443625996885,0.7347884527196369,-0.0025559098800515545,-0.0359622716077342,0.8694877624511719,False
cnn_lstm,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,20,0.7373443625996885,0.7426042215056552,0.005259858905966641,0.008214800254743776,0.13272666931152344,False
cnn_lstm,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,20,0.7373443625996885,0.7432118919783572,0.0058675293786687455,0.005744266737782033,0.20244979858398438,False
cnn_lstm,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,50.0,20,0.7373443625996885,0.717771718391413,-0.019572644208275536,-0.02396280804364654,0.002712249755859375,True
cnn_lstm,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,75.0,20,0.7373443625996885,0.682994776726602,-0.054349585873086526,-0.09789425943735826,1.9073486328125e-06,True
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,5.0,20,0.7373443625996885,0.7399390177384979,0.002594655138809465,-0.0005351426748838539,0.5458755493164062,False
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,10.0,20,0.7373443625996885,0.7365582361198864,-0.0007861264798021961,0.0019233142916138478,0.5958194732666016,False
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,20.0,20,0.7373443625996885,0.7397702903427881,0.0024259277430995208,-0.00521350235440915,0.956329345703125,False
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,35.0,20,0.7373443625996885,0.740332387745658,0.002988025145969575,-0.0018509620825202743,0.9854354858398438,False
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,50.0,20,0.7373443625996885,0.7397978317410518,0.0024534691413633514,0.0017507424958800755,0.5958194732666016,False
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,75.0,20,0.7373443625996885,0.7397631636871407,0.002418801087452238,0.0032401935230971235,0.34881019592285156,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,5.0,20,0.7373443625996885,0.7398548071707081,0.00251044457101951,-0.00025487986458055945,0.9272785186767578,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,10.0,20,0.7373443625996885,0.7371081796780282,-0.00023618292166027732,-0.0026414612477975775,0.5705966949462891,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,20.0,20,0.7373443625996885,0.7368131552857001,-0.0005312073139883688,-0.008222228973467176,0.21616744995117188,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,35.0,20,0.7373443625996885,0.7068987375755599,-0.03044562502412862,-0.03972585878908667,0.0002613067626953125,True
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,50.0,20,0.7373443625996885,0.6582975495093475,-0.07904681309034095,-0.06655399691705435,1.33514404296875e-05,True
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,75.0,20,0.7373443625996885,0.5979888579812211,-0.1393555046184673,-0.16801392918673458,3.814697265625e-06,True
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,5.0,20,0.7373443625996885,0.7362946073535286,-0.0010497552461599113,-0.003625781522771182,0.3117942810058594,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,20,0.7373443625996885,0.7339367429449724,-0.0034076196547161985,-0.0094882580520254,0.13272666931152344,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,20,0.7373443625996885,0.7284940042201572,-0.008850358379531298,-0.006583988000854163,0.069580078125,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,20,0.7373443625996885,0.7290537117378306,-0.008290650861857818,-0.012180182232254876,0.001689910888671875,True
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,50.0,20,0.7373443625996885,0.703217699368903,-0.03412666323078545,-0.041433318616792156,1.9073486328125e-06,True
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,75.0,20,0.7373443625996885,0.5389028806134254,-0.1984414819862631,-0.19489872178694195,1.9073486328125e-06,True
cnn_lstm,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,5.0,20,0.7373443625996885,0.7447767643393248,0.007432401739636385,0.0038229218601245896,0.0010166168212890625,True
cnn_lstm,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,10.0,20,0.7373443625996885,0.7398176207536411,0.002473258153952662,0.0004476767926998193,0.7285060882568359,False
cnn_lstm,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,20.0,20,0.7373443625996885,0.7439405705623264,0.006596207962637934,0.007066125805899726,0.009435653686523438,True
cnn_lstm,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,35.0,20,0.7373443625996885,0.7497558599251698,0.012411497325481302,0.010233041939906113,0.000209808349609375,True
cnn_lstm,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,50.0,20,0.7373443625996885,0.7439618128281693,0.0066174502284808145,0.003565811740957958,0.11398696899414062,False
cnn_lstm,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,75.0,20,0.7373443625996885,0.7297106834482636,-0.007633679151424877,-0.018253019826993233,0.039989471435546875,True
cnn_lstm,noise,FwdActDataPkts+PSHFlagCnt+IdleMean,5.0,20,0.7373443625996885,0.7442094697696433,0.006865107169954754,0.001466347056705286,0.16495704650878906,False
cnn_lstm,noise,FwdActDataPkts+PSHFlagCnt+IdleMean,10.0,20,0.7373443625996885,0.747941644800313,0.010597282200624503,0.008276023863274713,0.058258056640625,False
cnn_lstm,noise,FwdActDataPkts+PSHFlagCnt+IdleMean,20.0,20,0.7373443625996885,0.7424708528632107,0.005126490263522243,0.0006878151131841703,0.3299827575683594,False
cnn_lstm,noise,FwdActDataPkts+PSHFlagCnt+IdleMean,35.0,20,0.7373443625996885,0.7483791154362056,0.011034752836517059,0.007353163161468645,0.00830841064453125,True
cnn_lstm,noise,FwdActDataPkts+PSHFlagCnt+IdleMean,50.0,20,0.7373443625996885,0.741073036478053,0.003728673878364508,-8.845969932441688e-06,0.6742229461669922,False
cnn_lstm,noise,FwdActDataPkts+PSHFlagCnt+IdleMean,75.0,20,0.7373443625996885,0.7368638825408607,-0.00048048005882783684,-0.015035804547979514,0.34881019592285156,False
cnn_lstm,noise,Protocol+PSHFlagCnt+FwdSegSizeMin,5.0,20,0.7373443625996885,0.7279486423419514,-0.009395720257737106,-0.012226025429391302,0.013616561889648438,True
cnn_lstm,noise,Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,20,0.7373443625996885,0.7264782257351574,-0.010866136864531084,-0.01576424352252486,0.0005855560302734375,True
cnn_lstm,noise,Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,20,0.7373443625996885,0.7345994055925633,-0.0027449570071251816,-0.00300481182317911,0.20244979858398438,False
cnn_lstm,noise,Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,20,0.7373443625996885,0.7400566479293182,0.0027122853296298044,0.003029142401789775,0.34881019592285156,False
cnn_lstm,noise,Protocol+PSHFlagCnt+FwdSegSizeMin,50.0,20,0.7373443625996885,0.7143329987673763,-0.02301136383231217,-0.02102850115285084,1.9073486328125e-05,True
cnn_lstm,noise,Protocol+PSHFlagCnt+FwdSegSizeMin,75.0,20,0.7373443625996885,0.682994776726602,-0.054349585873086526,-0.08294703228800264,1.9073486328125e-06,True
cnn_lstm,outliers,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,5.0,20,0.7373443625996885,0.7378126527506528,0.00046829015096427895,0.0015734011918455636,0.38837623596191406,False
cnn_lstm,outliers,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,10.0,20,0.7373443625996885,0.7350819535008286,-0.002262409098859941,-0.0037580976006226286,0.3117942810058594,False
cnn_lstm,outliers,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,20.0,20,0.7373443625996885,0.7338606407628763,-0.0034837218368121703,-0.0029483969199076863,0.26109886169433594,False
cnn_lstm,outliers,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,35.0,20,0.7373443625996885,0.7333272772928177,-0.004017085306870893,-0.0076106034001858945,0.2942523956298828,False
cnn_lstm,outliers,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,50.0,20,0.7373443625996885,0.7286758472895134,-0.008668515310175151,-0.016684971993653663,0.006389617919921875,True
cnn_lstm,outliers,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,75.0,20,0.7373443625996885,0.7363094325053756,-0.0010349300943129358,-0.009974716790783666,0.16495704650878906,False
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts,5.0,20,0.7373443625996885,0.7243405833655345,-0.013003779234153912,-0.01165731897986324,0.013616561889648438,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts,10.0,20,0.7373443625996885,0.7064246085015746,-0.030919754098113872,-0.04077824299863153,6.29425048828125e-05,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts,20.0,20,0.7373443625996885,0.6606150382117157,-0.07672932438797281,-0.08126493691902452,1.9073486328125e-06,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts,35.0,20,0.7373443625996885,0.5900877949244947,-0.14725656767519385,-0.14627561378603907,1.9073486328125e-06,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts,50.0,20,0.7373443625996885,0.5518618538702221,-0.18548250872946637,-0.1936937031933184,1.9073486328125e-06,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts,75.0,20,0.7373443625996885,0.5478277109579386,-0.1895166516417499,-0.20715048332547462,1.9073486328125e-06,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,5.0,20,0.7373443625996885,0.7334774535895454,-0.003866909010143027,-0.010208988200342262,0.03623390197753906,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,20,0.7373443625996885,0.7188667607192043,-0.01847760188048425,-0.026083853540352225,0.0004825592041015625,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,20,0.7373443625996885,0.7094514803324394,-0.02789288226724912,-0.042215138290409314,5.7220458984375e-06,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,20,0.7373443625996885,0.671095084605556,-0.0662492779941325,-0.08271238879200413,3.814697265625e-06,True
