model,method,feature,noise_percentage,n_pairs,median_delta,mean_delta,p_value,significant
cnn_lstm,labels,Label+label_generic,10.0,20,0.002007890568212045,0.002275338804540716,0.6215133666992188,False
cnn_lstm,labels,Label+label_generic,20.0,20,-0.0088756798107692,-0.0072549602902839735,0.0072956085205078125,True
cnn_lstm,labels,Label+label_generic,35.0,20,-0.007021608794158363,-0.003434786300442755,0.2942523956298828,False
cnn_lstm,labels,Label+label_generic,50.0,20,-0.008845219849575703,-0.022155685523666886,0.0758514404296875,False
cnn_lstm,labels,Label+label_generic,75.0,20,-0.0037425244874840224,-0.0061766319620102095,0.16495704650878906,False
cnn_lstm,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,10.0,20,-0.0018918820934117897,-0.0022167275737996206,0.8983173370361328,False
cnn_lstm,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,20.0,20,-0.006600145688279879,-0.0029842985371727306,0.4523754119873047,False
cnn_lstm,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,35.0,20,-0.00044231617454554284,-0.004278672671298061,0.5705966949462891,False
cnn_lstm,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,50.0,20,-0.009170344543349862,-0.00855608549552066,0.082550048828125,False
cnn_lstm,missing,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,75.0,20,-0.011031931344606671,-0.012531582488297855,0.017181396484375,True
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts,10.0,20,-0.006317724462920782,-0.0035609126233561716,0.5958194732666016,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts,20.0,20,-0.0007976805313124058,-0.005320504633215156,0.40909767150878906,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts,35.0,20,-0.022534114547053785,-0.01829221498615835,0.00830841064453125,True
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts,50.0,20,-0.010906320269202519,-0.009600526815044492,0.2773551940917969,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts,75.0,20,-0.06193307648343632,-0.05363651353572933,0.0003223419189453125,True
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,20,0.0007116824818436673,-0.003940870406955632,0.8694877624511719,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,20,0.009727399675437565,0.009445682477889222,0.21616744995117188,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,20,-0.0004042136569160082,-0.0029857865493065293,0.6215133666992188,False
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,50.0,20,-0.0133709963205495,-0.022348191452613957,0.021484375,True
cnn_lstm,missing,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,75.0,20,-0.11884634974255714,-0.1172390354028866,3.814697265625e-06,True
cnn_lstm,missing,FwdActDataPkts+IdleMean+InitFwdWinByts,10.0,20,0.00558043660872426,0.0048544578409259855,0.3117942810058594,False
cnn_lstm,missing,FwdActDataPkts+IdleMean+InitFwdWinByts,20.0,20,0.0017456475079511424,-0.0027377576511554147,0.8694877624511719,False
cnn_lstm,missing,FwdActDataPkts+IdleMean+InitFwdWinByts,35.0,20,-0.0006932783571896306,-0.0076864629250829545,0.49800872802734375,False
cnn_lstm,missing,FwdActDataPkts+IdleMean+InitFwdWinByts,50.0,20,-0.004602334316239853,-0.010218281408842383,0.04405403137207031,True
cnn_lstm,missing,FwdActDataPkts+IdleMean+InitFwdWinByts,75.0,19,-0.023311311688968606,-0.02846468875282381,0.00026702880859375,True
cnn_lstm,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,10.0,19,-0.001158103144418443,0.0001096006314021724,0.9529838562011719,False
cnn_lstm,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,20.0,19,-0.001886768176838971,-0.009329672301181278,0.3954620361328125,False
cnn_lstm,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,35.0,19,-0.004889811498623664,-0.0036358043558218397,0.4413337707519531,False
cnn_lstm,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,50.0,19,-0.008171938178381355,-0.018324194000676485,0.05457305908203125,False
cnn_lstm,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,75.0,19,-0.004495926274225348,-0.007106432607129345,0.24125289916992188,False
cnn_lstm,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,20,-0.0005593227145925805,-0.04048443371348058,0.6215133666992188,False
cnn_lstm,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,20,0.0037446053919734656,0.0036926381489974015,0.38837623596191406,False
cnn_lstm,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,20,0.001049022588741566,0.0012221046320356587,0.4304332733154297,False
cnn_lstm,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,50.0,20,-0.01930531808264485,-0.028484970149392913,6.29425048828125e-05,True
cnn_lstm,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,75.0,20,-0.07957628393030836,-0.10241642154310462,3.814697265625e-06,True
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,10.0,20,-2.6785658938710544e-05,0.0024584569664977017,1.0,False
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,20.0,20,0.0010207047087200105,-0.004678359679525295,0.8983173370361328,False
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,35.0,20,-0.0006335425073689116,-0.0013158194076364205,0.7011814117431641,False
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,50.0,20,0.0011400219188829053,0.0022858851707639296,0.8983173370361328,False
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,75.0,20,0.01113007237339153,0.0037753361979809773,0.6215133666992188,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,10.0,20,3.711100280850976e-05,-0.002386581383217018,0.7561664581298828,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,20.0,20,-0.003667804391095708,-0.007967349108886617,0.21616744995117188,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,35.0,20,-0.02917598538550914,-0.03947097892450611,0.001209259033203125,True
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,50.0,20,-0.0809267304522347,-0.06629911705247378,4.76837158203125e-05,True
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,75.0,20,-0.13484560099486298,-0.16775904932215402,1.9073486328125e-06,True
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,20,-0.003385098272822351,-0.005862476529254218,0.2773551940917969,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,20,-0.0009340550240349299,-0.002958206478082981,0.5958194732666016,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,20,-0.00932326071373557,-0.008554400709483694,0.05316925048828125,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,50.0,20,-0.033825725714340005,-0.037807537094020974,9.5367431640625e-06,True
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,75.0,20,-0.19209305891588363,-0.1912729402641708,1.9073486328125e-06,True
