model,task,method,feature,noise_percentage,mean,std,n,sem,ci_half,ci_low,ci_high
cnn_lstm,binary,duplicated,Timestamp,5.0,0.9300390815910378,0.005482797811153333,20,0.0012259908612625907,0.002566028363107362,0.9274730532279304,0.9326051099541451
cnn_lstm,binary,duplicated,Timestamp,10.0,0.9309519695078871,0.007965312239378968,20,0.001781097962926245,0.0037278808796622686,0.9272240886282248,0.9346798503875493
cnn_lstm,binary,duplicated,Timestamp,20.0,0.9278074164940184,0.007943910624930536,20,0.0017763124164527514,0.003717864615779758,0.9240895518782387,0.9315252811097982
cnn_lstm,binary,duplicated,Timestamp,35.0,0.9328923429365542,0.0035741292001876886,20,0.0007991995851986625,0.0016727439560939431,0.9312195989804603,0.9345650868926482
cnn_lstm,binary,duplicated,Timestamp,50.0,0.9334728564102839,0.003166139353115372,20,0.0007079702819803183,0.0014817988299910393,0.9319910575802929,0.9349546552402749
cnn_lstm,binary,duplicated,Timestamp,75.0,0.9245742262964207,0.01012091966783233,20,0.002263106437208768,0.004736736210764238,0.9198374900856565,0.9293109625071849
cnn_lstm,binary,labels,Label,5.0,0.9317457829722036,0.003932821288325556,19,0.0009022510820429755,0.0018955591840954123,0.9298502237881081,0.933641342156299
cnn_lstm,binary,labels,Label,10.0,0.9333639374233401,0.00407558070850456,21,0.0008893646236963762,0.0018551820963220009,0.9315087553270182,0.9352191195196621
cnn_lstm,binary,labels,Label,20.0,0.9335930248725797,0.00357365811615935,20,0.0007990942476076145,0.0016725234819820463,0.9319205013905977,0.9352655483545617
cnn_lstm,binary,labels,Label,35.0,0.9308550123608287,0.004821871073830405,20,0.0010782031499824692,0.0022567051284521173,0.9285983072323766,0.9331117174892808
cnn_lstm,binary,labels,Label,50.0,0.9249843562713547,0.01783824407560173,20,0.003988752635227836,0.008348555212616392,0.9166358010587383,0.933332911483971
cnn_lstm,binary,labels,Label,75.0,0.9307816985364272,0.005560171110793584,20,0.0012432920570264968,0.0026022401820112446,0.928179458354416,0.9333839387184385
cnn_lstm,binary,labels,Protocol,5.0,0.9301571321657219,0.004763409141147389,20,0.001065130664424945,0.002229344101729314,0.9279277880639926,0.9323864762674513
cnn_lstm,binary,labels,Protocol,10.0,0.9290376902339952,0.005472262753706913,20,0.0012236351508028845,0.002561097804449976,0.9264765924295452,0.9315987880384452
cnn_lstm,binary,labels,Protocol,20.0,0.9305530765101635,0.0029859688416939527,20,0.0006676829308723986,0.0013974764350337704,0.9291556000751298,0.9319505529451972
cnn_lstm,binary,labels,Protocol,35.0,0.9319136211502841,0.0034329583686232095,20,0.0007676328276168277,0.001606673973155487,0.9303069471771286,0.9335202951234396
cnn_lstm,binary,labels,Protocol,50.0,0.9301409735391047,0.005127755959294188,20,0.0011466010897011449,0.0023998636615552753,0.9277411098775494,0.93254083720066
cnn_lstm,binary,labels,Protocol,75.0,0.9211991831627513,0.012667870588838507,20,0.0028326219766813187,0.005928745934239612,0.9152704372285116,0.9271279290969909
cnn_lstm,binary,labels,label_generic,5.0,0.9326381131404455,0.0045150474807390826,20,0.001009595308857176,0.0021131072666558553,0.9305250058737897,0.9347512204071013
cnn_lstm,binary,labels,label_generic,10.0,0.9330664316959826,0.003803455529038802,20,0.0008504785112328187,0.0017800719817676564,0.9312863597142149,0.9348465036777502
cnn_lstm,binary,labels,label_generic,20.0,0.930184132111999,0.005880484746110464,20,0.001314916363295359,0.002752151577912281,0.9274319805340867,0.9329362836899113
cnn_lstm,binary,labels,label_generic,35.0,0.9283182428586001,0.005650653080219358,20,0.0012635244404639056,0.0026445870472237534,0.9256736558113764,0.9309628299058238
cnn_lstm,binary,labels,label_generic,50.0,0.734026373545112,0.20183866479653498,20,0.045132497497284596,0.09446340289733945,0.6395629706477726,0.8284897764424515
cnn_lstm,binary,labels,label_generic,75.0,0.2919951672728403,0.27665960097084996,20,0.06186296743987873,0.12948067892874418,0.16251448834409613,0.4214758462015845
cnn_lstm,binary,missing,Bwd Byts_b Avg,5.0,0.9325857252567781,0.0029174440260042846,19,0.0006693075622520592,0.0014061630092353518,0.9311795622475427,0.9339918882660134
cnn_lstm,binary,missing,Bwd Byts_b Avg,10.0,0.9325836670611343,0.004180389713950269,20,0.0009347635572833702,0.001956482610578373,0.9306271844505559,0.9345401496717126
cnn_lstm,binary,missing,Bwd Byts_b Avg,20.0,0.933692355999171,0.0037317809863485958,20,0.0008344515962616675,0.0017465272632150805,0.9319458287359559,0.9354388832623861
cnn_lstm,binary,missing,Bwd Byts_b Avg,35.0,0.9332553896001159,0.00414168259792322,20,0.000926108383018425,0.0019383671226467468,0.9313170224774692,0.9351937567227626
cnn_lstm,binary,missing,Bwd Byts_b Avg,50.0,0.932736520014589,0.00289636403247289,20,0.000647646686419479,0.0013555400934338044,0.9313809799211552,0.9340920601080227
cnn_lstm,binary,missing,Bwd Byts_b Avg,75.0,0.9317673193871086,0.004924089135375462,20,0.0011010598033967696,0.002304544653851522,0.929462774733257,0.9340718640409601
cnn_lstm,binary,missing,Dst Port,5.0,0.9304270282218594,0.005449676925013216,20,0.0012185848059741574,0.002550527311240393,0.927876500910619,0.9329775555330998
cnn_lstm,binary,missing,Dst Port,10.0,0.9312167319232454,0.004422299445865782,20,0.0009888562177815538,0.002069699850168013,0.9291470320730774,0.9332864317734134
cnn_lstm,binary,missing,Dst Port,20.0,0.9306644725671829,0.004468123875686224,20,0.0009991028717924216,0.002091146343489959,0.9285733262236929,0.9327556189106728
cnn_lstm,binary,missing,Dst Port,35.0,0.9292735777955773,0.006318419032467468,20,0.001412841446692571,0.0029571111329925854,0.9263164666625847,0.9322306889285699
cnn_lstm,binary,missing,Dst Port,50.0,0.9290169570101176,0.007283183748276817,20,0.0016285693953768678,0.0034086349187969797,0.9256083220913206,0.9324255919289145
cnn_lstm,binary,missing,Dst Port,75.0,0.9183904313875315,0.014850572068979887,20,0.0033206888650998724,0.00695028167185986,0.9114401497156717,0.9253407130593914
cnn_lstm,binary,missing,Fwd Act Data Pkts,5.0,0.9303798635965257,0.005570263370588814,19,0.0012779060590159415,0.0026847810047441567,0.9276950825917816,0.9330646446012698
cnn_lstm,binary,missing,Fwd Act Data Pkts,10.0,0.9303039663472676,0.004882207390507426,20,0.0010916947605426467,0.002284943393887278,0.9280190229533803,0.9325889097411549
cnn_lstm,binary,missing,Fwd Act Data Pkts,20.0,0.9304734104776118,0.003917457007237839,20,0.0008759700167116693,0.0018334263159179719,0.9286399841616938,0.9323068367935298
cnn_lstm,binary,missing,Fwd Act Data Pkts,35.0,0.9314417498752633,0.006017480848477116,20,0.0013455496230497944,0.0028162677274432522,0.92862548214782,0.9342580176027065
cnn_lstm,binary,missing,Fwd Act Data Pkts,50.0,0.9294829167960572,0.005054725778140698,20,0.001130271044754312,0.002365684484671985,0.9271172323113852,0.9318486012807292
