model,task,method,feature,noise_percentage,mean,std,n,sem,ci_half,ci_low,ci_high
cnn_lstm,binary,duplicated,Timestamp,5.0,0.7344836763803874,0.02224526944218086,20,0.0049741934650515225,0.010411106573633451,0.7240725698067539,0.7448947829540208
cnn_lstm,binary,duplicated,Timestamp,10.0,0.7382082537615815,0.03206731590237543,20,0.007170469821367147,0.015007965817530286,0.7232002879440512,0.7532162195791118
cnn_lstm,binary,duplicated,Timestamp,20.0,0.7250673976345345,0.03318476739980359,20,0.007420339572347976,0.015530949216802177,0.7095364484177323,0.7405983468513367
cnn_lstm,binary,duplicated,Timestamp,35.0,0.7468217322177366,0.015264869738264429,20,0.0034133286402438685,0.007144178949631221,0.7396775532681054,0.7539659111673679
cnn_lstm,binary,duplicated,Timestamp,50.0,0.7493027455917824,0.013049854011971796,20,0.002918036066721729,0.006107519679279587,0.7431952259125029,0.755410265271062
cnn_lstm,binary,duplicated,Timestamp,75.0,0.7119171949717008,0.04328819547769966,20,0.009679534771143541,0.020259499111485058,0.6916576958602157,0.7321766940831859
cnn_lstm,binary,labels,Label,5.0,0.7414158610491753,0.016419277576928636,19,0.0037668406149355418,0.007913838469993186,0.7335020225791822,0.7493296995191685
cnn_lstm,binary,labels,Label,10.0,0.7479176675448541,0.016046746763540964,21,0.003501687223891148,0.007304391552794812,0.7406132759920593,0.755222059097649
cnn_lstm,binary,labels,Label,20.0,0.7494408415807474,0.014876534081560585,20,0.0033264941475961867,0.006962432267767282,0.7424784093129801,0.7564032738485147
cnn_lstm,binary,labels,Label,35.0,0.7381351209306114,0.019181295124882383,20,0.004289067979572232,0.008977122452237127,0.7291579984783743,0.7471122433828485
cnn_lstm,binary,labels,Label,50.0,0.7087747827972024,0.09361272132972595,20,0.020932440845201173,0.04381210220648504,0.6649626805907174,0.7525868850036874
cnn_lstm,binary,labels,Label,75.0,0.7376662378280944,0.022979106693494396,20,0.005138284462887389,0.010754552979215782,0.7269116848488786,0.7484207908073102
cnn_lstm,binary,labels,Protocol,5.0,0.7351008439237154,0.01923580212917429,20,0.00430125611625689,0.009002632515496533,0.726098211408219,0.7441034764392119
cnn_lstm,binary,labels,Protocol,10.0,0.7303805914764648,0.022040317556773825,20,0.004928364830262835,0.010315186138640036,0.7200654053378248,0.7406957776151049
cnn_lstm,binary,labels,Protocol,20.0,0.7366519686685623,0.012252287823530252,20,0.0027396948453306588,0.00573424721301552,0.7309177214555468,0.7423862158815778
cnn_lstm,binary,labels,Protocol,35.0,0.7423521925121441,0.013818032455922051,20,0.003089805988674007,0.006467038257749543,0.7358851542543946,0.7488192307698937
cnn_lstm,binary,labels,Protocol,50.0,0.7405789644747415,0.01652034914160708,20,0.003694062369266373,0.007731761397359067,0.7328472030773824,0.7483107258721006
cnn_lstm,binary,labels,Protocol,75.0,0.7159908414135513,0.03408372343095467,20,0.0076213522517917,0.015951673590118957,0.7000391678234323,0.7319425150036702
cnn_lstm,binary,labels,label_generic,5.0,0.7449515188370951,0.018604263893047028,20,0.004160039873619803,0.008707063522783949,0.7362444553143112,0.753658582359879
cnn_lstm,binary,labels,label_generic,10.0,0.7469058519428546,0.015304640198481115,20,0.0034222215854979644,0.00716279209796258,0.7397430598448921,0.7540686440408172
cnn_lstm,binary,labels,label_generic,20.0,0.7348398747034006,0.02383698207921525,20,0.005330111230756957,0.011156051018646187,0.7236838236847545,0.7459959257220468
cnn_lstm,binary,labels,label_generic,35.0,0.7274207644970878,0.023990586025850198,20,0.005364458117385756,0.011227939878554298,0.7161928246185335,0.7386487043756421
cnn_lstm,binary,labels,label_generic,50.0,0.06952701782269285,0.24260812647484983,20,0.05424882626916306,0.11354409830477563,-0.04401708048208278,0.1830711161274685
cnn_lstm,binary,labels,label_generic,75.0,-0.12656037553646526,0.2008003373588364,20,0.044900320423924875,0.09397745069791544,-0.2205378262343807,-0.032582924838549826
cnn_lstm,binary,missing,Bwd Byts_b Avg,5.0,0.7448309685699097,0.011714951914517078,19,0.002687594290727278,0.005646426080614919,0.7391845424892948,0.7504773946505247
cnn_lstm,binary,missing,Bwd Byts_b Avg,10.0,0.7447609539361681,0.017060558726815733,20,0.003814856904728724,0.007984587265722844,0.7367763666704453,0.752745541201891
cnn_lstm,binary,missing,Bwd Byts_b Avg,20.0,0.7495991911099442,0.015168318613962704,20,0.0033917391525195993,0.0070989916325019725,0.7425001994774423,0.7566981827424462
cnn_lstm,binary,missing,Bwd Byts_b Avg,35.0,0.7476729322100191,0.017176411452885943,20,0.0038407623618158895,0.008038808010546725,0.7396341241994724,0.7557117402205658
cnn_lstm,binary,missing,Bwd Byts_b Avg,50.0,0.7455432406836155,0.012313889750586443,20,0.0027534694549749216,0.005763077802341046,0.7397801628812745,0.7513063184859566
cnn_lstm,binary,missing,Bwd Byts_b Avg,75.0,0.7416883768825933,0.019547750270327166,20,0.004371009841164143,0.009148628739611992,0.7325397481429813,0.7508370056222052
cnn_lstm,binary,missing,Dst Port,5.0,0.7356196756149828,0.02324113902922441,20,0.005196876674386924,0.010877187887285289,0.7247424877276974,0.7464968635022681
cnn_lstm,binary,missing,Dst Port,10.0,0.738976431447014,0.01856915026082452,20,0.004152188226761158,0.008690629837042085,0.7302858016099719,0.747667061284056
cnn_lstm,binary,missing,Dst Port,20.0,0.7368717642212158,0.01816153950087371,20,0.004061043690000122,0.008499862129173334,0.7283719020920425,0.7453716263503891
cnn_lstm,binary,missing,Dst Port,35.0,0.7308302392814039,0.025976521944828457,20,0.005808526888765147,0.012157386498862907,0.718672852782541,0.7429876257802668
cnn_lstm,binary,missing,Dst Port,50.0,0.7298769124530378,0.029969900463240794,20,0.006701473471470885,0.014026345175767715,0.71585056727727,0.7439032576288055
cnn_lstm,binary,missing,Dst Port,75.0,0.6841446692338387,0.06413872615939485,20,0.01434185516826509,0.030017847852018956,0.6541268213818197,0.7141625170858577
cnn_lstm,binary,missing,Fwd Act Data Pkts,5.0,0.7359287310876214,0.022671037593329044,19,0.005201092727080676,0.010927090343661159,0.7250016407439602,0.7468558214312825
cnn_lstm,binary,missing,Fwd Act Data Pkts,10.0,0.7354089411984799,0.019947958043695594,20,0.004460499019801707,0.009335931743109656,0.7260730094553702,0.7447448729415895
cnn_lstm,binary,missing,Fwd Act Data Pkts,20.0,0.7359580886764037,0.016076471647237783,20,0.00359480834415717,0.007524020335308659,0.728434068341095,0.7434821090117123
cnn_lstm,binary,missing,Fwd Act Data Pkts,35.0,0.7400219346166956,0.024629068201557965,20,0.00550722707211621,0.011526758735027868,0.7284951758816678,0.7515486933517235
