model,task,method,feature,noise_percentage,mean,std,n,sem,ci_half,ci_low,ci_high
cnn_lstm,binary,duplicated,Timestamp,5.0,0.7543371626212296,0.016739101728706608,20,0.003742976934767222,0.007834140759563275,0.7465030218616664,0.7621713033807929
cnn_lstm,binary,duplicated,Timestamp,10.0,0.7580760966194638,0.02581615581461655,20,0.005772667931920906,0.012082332839621922,0.745993763779842,0.7701584294590857
cnn_lstm,binary,duplicated,Timestamp,20.0,0.7439938063447064,0.0354094338901344,20,0.007917790122312534,0.01657212518375664,0.7274216811609497,0.760565931528463
cnn_lstm,binary,duplicated,Timestamp,35.0,0.7587890226231138,0.015409975935051353,20,0.0034457753722410707,0.007212090740188305,0.7515769318829254,0.7660011133633021
cnn_lstm,binary,duplicated,Timestamp,50.0,0.7612148072198693,0.013784892842252428,20,0.0030823957457826712,0.006451528441128969,0.7547632787787404,0.7676663356609983
cnn_lstm,binary,duplicated,Timestamp,75.0,0.7243885172399372,0.042946680844919836,20,0.009603169777722886,0.020099665343340893,0.7042888518965964,0.7444881825832781
cnn_lstm,binary,labels,Label,5.0,0.7595630349048573,0.013094737647728076,19,0.00300413884729601,0.006311461516228495,0.7532515733886288,0.7658744964210858
cnn_lstm,binary,labels,Label,10.0,0.7653400119718292,0.014655325990643005,21,0.0031980543183988217,0.006671024410550689,0.7586689875612785,0.7720110363823799
cnn_lstm,binary,labels,Label,20.0,0.7655424853551285,0.01341787305691507,20,0.0030003276268725,0.006279757894149939,0.7592627274609786,0.7718222432492784
cnn_lstm,binary,labels,Label,35.0,0.7535765397269283,0.014556269322811443,20,0.0032548807704601214,0.006812543746804083,0.7467639959801242,0.7603890834737324
cnn_lstm,binary,labels,Label,50.0,0.7196393829396563,0.12059091377128321,20,0.026964948066140478,0.05643828492830283,0.6632010980113535,0.7760776678679592
cnn_lstm,binary,labels,Label,75.0,0.7543693601260799,0.01887738514409338,20,0.004221111641963746,0.008834888202973071,0.7455344719231068,0.763204248329053
cnn_lstm,binary,labels,Protocol,5.0,0.7557799395683975,0.016551855177024878,20,0.003701107332955944,0.007746506675823772,0.7480334328925737,0.7635264462442213
cnn_lstm,binary,labels,Protocol,10.0,0.7549710676401222,0.016629931914703952,20,0.003718565822247127,0.007783047713863848,0.7471880199262584,0.7627541153539861
cnn_lstm,binary,labels,Protocol,20.0,0.7605349140876594,0.013424790972036795,20,0.0030018745197199753,0.006282995578089297,0.7542519185095701,0.7668179096657487
cnn_lstm,binary,labels,Protocol,35.0,0.766373795368981,0.014880343889224181,20,0.0033273460464878866,0.006964215312639533,0.7594095800563414,0.7733380106816206
cnn_lstm,binary,labels,Protocol,50.0,0.7760222426052569,0.014379195335828071,20,0.003215285823265948,0.0067296705698936515,0.7692925720353633,0.7827519131751505
cnn_lstm,binary,labels,Protocol,75.0,0.758886374170149,0.024814250587140166,20,0.005548635112355948,0.011613426759295548,0.7472729474108535,0.7704998009294446
cnn_lstm,binary,labels,label_generic,5.0,0.7620256040489972,0.016617384820894462,20,0.0037157602067793183,0.007777175493202304,0.7542484285557949,0.7698027795421996
cnn_lstm,binary,labels,label_generic,10.0,0.7618812337726203,0.01498193747959583,20,0.0033500630639028144,0.00701176257653339,0.7548694711960869,0.7688929963491536
cnn_lstm,binary,labels,label_generic,20.0,0.75252042104817,0.01891031535748753,20,0.004228475061530035,0.008850300017248017,0.7436701210309219,0.761370721065418
cnn_lstm,binary,labels,label_generic,35.0,0.7388848124561651,0.02729364987934721,20,0.006103045648429929,0.012773821347315795,0.7261109911088494,0.7516586338034809
cnn_lstm,binary,labels,label_generic,50.0,0.16991092526304025,0.19714654776239968,20,0.04408330823261347,0.09226742452875582,0.07764350073428443,0.26217834979179605
cnn_lstm,binary,labels,label_generic,75.0,0.20723304391559375,0.11248499922235673,20,0.025152410471020063,0.052644600142196414,0.15458844377339734,0.2598776440577902
cnn_lstm,binary,missing,Bwd Byts_b Avg,5.0,0.7626950045851311,0.00975313698057159,19,0.002237523077937946,0.004700861549987797,0.7579941430351432,0.7673958661351189
cnn_lstm,binary,missing,Bwd Byts_b Avg,10.0,0.7637078348860245,0.014324822035829864,20,0.0032031275837702505,0.006704223082169899,0.7570036118038546,0.7704120579681943
cnn_lstm,binary,missing,Bwd Byts_b Avg,20.0,0.7659265338398382,0.013306197747789156,20,0.0029753562686111153,0.006227492240637613,0.7596990415992007,0.7721540260804758
cnn_lstm,binary,missing,Bwd Byts_b Avg,35.0,0.7650494806689092,0.01463599757405853,20,0.0032727085494116885,0.006849857716986387,0.7581996229519228,0.7718993383858956
cnn_lstm,binary,missing,Bwd Byts_b Avg,50.0,0.7630707073208374,0.009783136370526703,20,0.0021875757957648275,0.004578648761377181,0.7584920585594602,0.7676493560822145
cnn_lstm,binary,missing,Bwd Byts_b Avg,75.0,0.7605176861007438,0.015149650904502567,20,0.0033875649257858916,0.007090254875539768,0.7534274312252041,0.7676079409762835
cnn_lstm,binary,missing,Dst Port,5.0,0.7546617419981364,0.02328807256406326,20,0.005207371331819328,0.010899153457734083,0.7437625885404023,0.7655608954558705
cnn_lstm,binary,missing,Dst Port,10.0,0.7566708490422739,0.018031557243085625,20,0.004031978773571815,0.008439028559949522,0.7482318204823244,0.7651098776022234
cnn_lstm,binary,missing,Dst Port,20.0,0.7549913343495394,0.01541296031522006,20,0.003446442699933864,0.007213487473101494,0.7477778468764379,0.7622048218226408
cnn_lstm,binary,missing,Dst Port,35.0,0.7486033421380703,0.024953257143736224,20,0.005579717923342643,0.011678483830369329,0.736924858307701,0.7602818259684396
cnn_lstm,binary,missing,Dst Port,50.0,0.7500636533757732,0.030949803696837114,20,0.006920586495640208,0.014484954005988258,0.7355786993697849,0.7645486073817614
cnn_lstm,binary,missing,Dst Port,75.0,0.7048010985132169,0.07263062149053977,20,0.016240700690090402,0.03399217720480483,0.6708089213084121,0.7387932757180218
cnn_lstm,binary,missing,Fwd Act Data Pkts,5.0,0.7555223508150924,0.01727875732402806,19,0.003964018791863241,0.008328094447755136,0.7471942563673373,0.7638504452628476
cnn_lstm,binary,missing,Fwd Act Data Pkts,10.0,0.7560888494515333,0.016000546221426392,20,0.0035778309028236814,0.007488486142215362,0.748600363309318,0.7635773355937486
cnn_lstm,binary,missing,Fwd Act Data Pkts,20.0,0.7552938622795641,0.01246904001400092,20,0.0027881621085470982,0.005835690360778867,0.7494581719187852,0.761129552640343
cnn_lstm,binary,missing,Fwd Act Data Pkts,35.0,0.7590112101839274,0.02001293086982622,20,0.004475027385393542,0.009366339961764605,0.7496448702221628,0.768377550145692
cnn_lstm,binary,missing,Fwd Act Data Pkts,50.0,0.7523579804199578,0.015495979465101017,20,0.0034650063461906704,0.007252341631254516,0.7451056387887033,0.7596103220512124
cnn_lstm,binary,missing,Fwd Act Data Pkts,75.0,0.7554882864347351,0.011055251535076693,20,0.0024720293940790387,0.005174016985011824,0.7503142694497232,0.7606623034197469
cnn_lstm,binary,missing,Fwd Blk Rate Avg,5.0,0.7634890791647604,0.012011491464327057,20,0.0026858511425393787,0.005621551047894959,0.7578675281168654,0.7691106302126554
cnn_lstm,binary,missing,Fwd Blk Rate Avg,10.0,0.7644377195859158,0.011426337663878412,20,0.002555006775029827,0.005347690639313626,0.7590900289466022,0.7697854102252294
cnn_lstm,binary,missing,Fwd Blk Rate Avg,20.0,0.7624478910407596,0.010963246454855809,20,0.0024514564327141166,0.00513095728200463,0.757316933758755,0.7675788483227642
cnn_lstm,binary,missing,Fwd Blk Rate Avg,35.0,0.7651726262032078,0.012126172984901097,20,0.0027114947101160385,0.005675223651673752,0.7594974025515341,0.7708478498548815
cnn_lstm,binary,missing,Fwd Blk Rate Avg,50.0,0.7629590300198917,0.010932780331581704,20,0.002444644000448938,0.005116698697404583,0.7578423313224871,0.7680757287172963
cnn_lstm,binary,missing,Fwd Blk Rate Avg,75.0,0.7638337315898767,0.012517752667094149,20,0.002799054588915181,0.005858488584201434,0.7579752430056752,0.7696922201740781
cnn_lstm,binary,missing,Fwd Seg Size Min,5.0,0.7504682390544523,0.025646371207502395,20,0.005734702939616872,0.012002871197504152,0.738465367856948,0.7624711102519565
cnn_lstm,binary,missing,Fwd Seg Size Min,10.0,0.7555419037923581,0.012313203036802743,20,0.0027533159011047777,0.0057627564103971875,0.7497791473819609,0.7613046602027552
cnn_lstm,binary,missing,Fwd Seg Size Min,20.0,0.7608405593552288,0.022773125784198725,20,0.0050922257313621554,0.010658150946217934,0.7501824084090108,0.7714987103014467
cnn_lstm,binary,missing,Fwd Seg Size Min,35.0,0.7492655590605369,0.011787386981554319,20,0.0026357398567851517,0.0055166669214140335,0.7437488921391229,0.754782225981951
cnn_lstm,binary,missing,Fwd Seg Size Min,50.0,0.7544545126478359,0.02039882064200644,20,0.00456131496163523,0.009546941934435048,0.7449075707134009,0.764001454582271
cnn_lstm,binary,missing,Fwd Seg Size Min,75.0,0.6955081390179063,0.05492457926764468,20,0.012281509287802911,0.02570549436381055,0.6698026446540958,0.7212136333817168
cnn_lstm,binary,missing,Idle Mean,5.0,0.7587141730948497,0.02015789875860453,20,0.004507443190779835,0.009434187022181136,0.7492799860726685,0.7681483601170308
cnn_lstm,binary,missing,Idle Mean,10.0,0.7578629100573602,0.015201415058003856,20,0.0033991397423885528,0.007114481245114503,0.7507484288122457,0.7649773913024747
cnn_lstm,binary,missing,Idle Mean,20.0,0.7610119426967378,0.011670509751233923,20,0.0026096053135833213,0.005461966693841629,0.7555499760028962,0.7664739093905794
cnn_lstm,binary,missing,Idle Mean,35.0,0.7579197771207474,0.01918919120230572,20,0.00429083359615965,0.008980817930225454,0.748938959190522,0.7669005950509729
cnn_lstm,binary,missing,Idle Mean,50.0,0.7507939256489415,0.020929774945335874,20,0.0046800399531542955,0.009795436197543875,0.7409984894513977,0.7605893618464854
cnn_lstm,binary,missing,Idle Mean,75.0,0.7550973624666598,0.008184928829165931,20,0.0018302057253012786,0.0038306646075713813,0.7512666978590884,0.7589280270742312
cnn_lstm,binary,missing,Init Fwd Win Byts,5.0,0.7575094983056351,0.013418241737778102,20,0.0030004100664196742,0.00627993044210521,0.7512295678635299,0.7637894287477403
cnn_lstm,binary,missing,Init Fwd Win Byts,10.0,0.7509843149972857,0.029347106876111202,20,0.0065622125917936145,0.013734868804765127,0.7372494461925205,0.7647191838020508
cnn_lstm,binary,missing,Init Fwd Win Byts,20.0,0.7581020009361741,0.02417086715891308,20,0.005404770204244685,0.011312314046033434,0.7467896868901407,0.7694143149822075
cnn_lstm,binary,missing,Init Fwd Win Byts,35.0,0.7592533297736406,0.01769529555622216,20,0.00395678837456627,0.008281653246170355,0.7509716765274702,0.7675349830198109
cnn_lstm,binary,missing,Init Fwd Win Byts,50.0,0.7641148881615236,0.031073680123693007,20,0.006948286106766163,0.014542929958372638,0.749571958203151,0.7786578181198962
cnn_lstm,binary,missing,Init Fwd Win Byts,75.0,0.7529106611812717,0.02877437132286762,20,0.006434145028775254,0.013466820314778248,0.7394438408664935,0.7663774814960499
cnn_lstm,binary,missing,PSH Flag Cnt,5.0,0.7566411266554784,0.018065777041552742,20,0.004039630553126697,0.008455043918616918,0.7481860827368615,0.7650961705740954
cnn_lstm,binary,missing,PSH Flag Cnt,10.0,0.7568772321135541,0.009657298862870811,20,0.0021594376736410554,0.004519754994926248,0.7523574771186278,0.7613969871084804
cnn_lstm,binary,missing,PSH Flag Cnt,20.0,0.7505720997666844,0.017849122941104207,20,0.003991185223505998,0.008353646678397057,0.7422184530882873,0.7589257464450815
cnn_lstm,binary,missing,PSH Flag Cnt,35.0,0.7514089844576287,0.014907268336937438,19,0.0034199619055238907,0.0071850733440998816,0.7442239111135288,0.7585940578017286
cnn_lstm,binary,missing,PSH Flag Cnt,50.0,0.7553893428714528,0.010255213126926267,20,0.002293135367555531,0.004799587484308165,0.7505897553871446,0.760188930355761
cnn_lstm,binary,missing,PSH Flag Cnt,75.0,0.7431496078254405,0.015973078296763234,20,0.0035716888881489146,0.007475630757758546,0.7356739770676819,0.7506252385831991
