model,method,feature,noise_percentage,n,baseline,median_value,median_delta,mean_delta,p_value,significant
cnn_lstm,duplicated,Timestamp,5.0,20,0.7373443625996885,0.743678807785439,0.006334445185750492,-0.002860686219301184,0.9702171637980858,False
cnn_lstm,duplicated,Timestamp,10.0,20,0.7373443625996885,0.7458005100755436,0.008456147475855103,0.0008638911618929878,0.4114239954629041,False
cnn_lstm,duplicated,Timestamp,20.0,20,0.7373443625996885,0.7358098131100006,-0.001534549489687842,-0.012276964965154003,0.3316807695178907,False
cnn_lstm,duplicated,Timestamp,35.0,20,0.7373443625996885,0.7510328199384262,0.013688457338737636,0.009477369618048171,0.0031824959646004325,True
cnn_lstm,duplicated,Timestamp,50.0,20,0.7373443625996885,0.7524734821529446,0.015129119553256187,0.011958382992093891,0.004546406334110102,True
cnn_lstm,duplicated,Timestamp,75.0,20,0.7373443625996885,0.7309272633092821,-0.006417099290406347,-0.025427167627987746,0.07311306386722158,False
cnn_lstm,labels,Label,5.0,19,0.7373443625996885,0.7407056083258324,0.0033612457261439355,0.00407149844948689,0.25792694091796875,False
cnn_lstm,labels,Label,10.0,21,0.7373443625996885,0.7460792032509851,0.008734840651296594,0.01057330494516566,0.0016563047696487778,True
cnn_lstm,labels,Label,20.0,20,0.7373443625996885,0.7498580365659453,0.0125136739662568,0.012096478981059006,0.002712249755859375,True
cnn_lstm,labels,Label,35.0,20,0.7373443625996885,0.7445667247488741,0.007222362149185535,0.0007907583309229027,0.2305126190185547,False
cnn_lstm,labels,Label,50.0,20,0.7373443625996885,0.7310751420722185,-0.006269220527470032,-0.02856957980248607,0.01531219482421875,True
cnn_lstm,labels,Label,75.0,20,0.7373443625996885,0.7457314319351427,0.008387069335454245,0.00032187522840586015,0.5216732025146484,False
cnn_lstm,labels,Protocol,5.0,20,0.7373443625996885,0.7378848245357107,0.0005404619360221963,-0.0022435186759730665,0.8227452173339953,False
cnn_lstm,labels,Protocol,10.0,20,0.7373443625996885,0.7338086664763752,-0.0035356961233133366,-0.006963771123223666,0.4114239954629041,False
cnn_lstm,labels,Protocol,20.0,20,0.7373443625996885,0.738875792255222,0.001531429655533545,-0.0006923939311261562,0.7651785898104478,False
cnn_lstm,labels,Protocol,35.0,20,0.7373443625996885,0.7434167366527563,0.006072374053067819,0.0050078299124556355,0.07929551941222376,False
cnn_lstm,labels,Protocol,50.0,20,0.7373443625996885,0.7423285777465889,0.004984215146900395,0.0032346018750530224,0.23218491408216846,False
cnn_lstm,labels,Protocol,75.0,20,0.7373443625996885,0.7140927874910616,-0.0232515751086268,-0.02135352118613714,0.02275690685955615,True
cnn_lstm,labels,label_generic,5.0,20,0.7373443625996885,0.7440207912923829,0.006676428692694303,0.007607156237406621,0.069580078125,False
cnn_lstm,labels,label_generic,10.0,20,0.7373443625996885,0.750896564645162,0.013552202045473472,0.009561489343166219,0.01531219482421875,True
cnn_lstm,labels,label_generic,20.0,20,0.7373443625996885,0.7374098250181005,6.546241841204337e-05,-0.0025044878962878826,0.8408222198486328,False
cnn_lstm,labels,label_generic,35.0,20,0.7373443625996885,0.7326599970972523,-0.004684365502436283,-0.009923598102600678,0.10539817810058594,False
cnn_lstm,labels,label_generic,50.0,20,0.7373443625996885,-0.009251555535946166,-0.7465959181356346,-0.6678173447769956,1.9073486328125e-06,True
cnn_lstm,labels,label_generic,75.0,20,0.7373443625996885,0.0,-0.7373443625996885,-0.863904738136154,5.1116405849158205e-05,True
cnn_lstm,missing,Bwd Byts_b Avg,5.0,19,0.7373443625996885,0.744835300636517,0.007490938036828543,0.007486605970221205,0.01958091763671939,True
cnn_lstm,missing,Bwd Byts_b Avg,10.0,20,0.7373443625996885,0.7452726390826092,0.007928276482920715,0.007416591336479617,0.06733069932137338,False
cnn_lstm,missing,Bwd Byts_b Avg,20.0,20,0.7373443625996885,0.7494086072345547,0.012064244634866161,0.012254828510255755,0.0022019744329783045,True
cnn_lstm,missing,Bwd Byts_b Avg,35.0,20,0.7373443625996885,0.7483126495683783,0.010968286968689844,0.010328569610330606,0.013733063102053016,True
cnn_lstm,missing,Bwd Byts_b Avg,50.0,20,0.7373443625996885,0.7471889502382341,0.009844587638545621,0.008198878083927125,0.009989902455487807,True
cnn_lstm,missing,Bwd Byts_b Avg,75.0,20,0.7373443625996885,0.7452726390826092,0.007928276482920715,0.004344014282904823,0.20429082561000145,False
cnn_lstm,missing,Dst Port,5.0,20,0.7373443625996885,0.7435406634731307,0.006196300873442306,-0.0017246869847057033,0.654130777413502,False
cnn_lstm,missing,Dst Port,10.0,20,0.7373443625996885,0.7388988185779739,0.0015544559782853518,0.001632068847325452,0.5502572060902096,False
cnn_lstm,missing,Dst Port,20.0,20,0.7373443625996885,0.7388592534004816,0.0015148908007932005,-0.00047259837847263286,0.7938214901244397,False
cnn_lstm,missing,Dst Port,35.0,20,0.7373443625996885,0.7331428874100424,-0.004201475189646087,-0.006514123318284687,0.2958354492077534,False
cnn_lstm,missing,Dst Port,50.0,20,0.7373443625996885,0.728533999728781,-0.008810362870907473,-0.00746745014665065,0.20429082561000145,False
cnn_lstm,missing,Dst Port,75.0,20,0.7373443625996885,0.6913134836221655,-0.046030878977523004,-0.05319969336584977,0.0031824959646004325,True
cnn_lstm,missing,Fwd Act Data Pkts,5.0,19,0.7373443625996885,0.7415518157435536,0.004207453143865059,-0.001415631512067145,1.0,False
cnn_lstm,missing,Fwd Act Data Pkts,10.0,20,0.7373443625996885,0.7394801371053945,0.002135774505706012,-0.001935421401208559,0.9702171637980858,False
cnn_lstm,missing,Fwd Act Data Pkts,20.0,20,0.7373443625996885,0.7399092468490482,0.0025648842493597446,-0.0013862739232847975,0.8519118437276034,False
cnn_lstm,missing,Fwd Act Data Pkts,35.0,20,0.7373443625996885,0.7468063075277966,0.009461944928108201,0.002677572017007157,0.47808713284033744,False
cnn_lstm,missing,Fwd Act Data Pkts,50.0,20,0.7373443625996885,0.7319681950915532,-0.005376167508135299,-0.005355185207151236,0.39049158819249985,False
cnn_lstm,missing,Fwd Act Data Pkts,75.0,20,0.7373443625996885,0.7350867067214498,-0.0022576558782386735,-0.0009945171972711108,0.654130777413502,False
cnn_lstm,missing,Fwd Blk Rate Avg,5.0,20,0.7373443625996885,0.7472671089995631,0.00992274639987456,0.008802427386321953,0.016871369285917627,True
cnn_lstm,missing,Fwd Blk Rate Avg,10.0,20,0.7373443625996885,0.7483126495683783,0.010968286968689844,0.010413676694633533,0.007184128373726576,True
cnn_lstm,missing,Fwd Blk Rate Avg,20.0,20,0.7373443625996885,0.7459460267515696,0.008601664151881128,0.007691074367127526,0.02508084098587283,True
cnn_lstm,missing,Fwd Blk Rate Avg,35.0,20,0.7373443625996885,0.7484702347050189,0.011125872105330392,0.01064205089962465,0.005107187870519105,True
cnn_lstm,missing,Fwd Blk Rate Avg,50.0,20,0.7373443625996885,0.750327630287779,0.01298326768809055,0.008062812300624523,0.027607480195292144,True
cnn_lstm,missing,Fwd Blk Rate Avg,75.0,20,0.7373443625996885,0.7460680948442031,0.008723732244514615,0.00934062964241606,0.013733063102053016,True
cnn_lstm,missing,Fwd Seg Size Min,5.0,20,0.7373443625996885,0.7264548349366408,-0.010889527663047738,-0.011233284495516837,0.09293465271054127,False
cnn_lstm,missing,Fwd Seg Size Min,10.0,20,0.7373443625996885,0.7332228816948339,-0.004121480904854702,-0.0046720350931572785,0.19129516096102428,False
cnn_lstm,missing,Fwd Seg Size Min,20.0,20,0.7373443625996885,0.7317184181508853,-0.005625944448803155,0.0015963067295774347,0.9404758102696918,False
cnn_lstm,missing,Fwd Seg Size Min,35.0,20,0.7373443625996885,0.7276086699803807,-0.009735692619307845,-0.008521554422462569,0.018664589466918746,True
cnn_lstm,missing,Fwd Seg Size Min,50.0,20,0.7373443625996885,0.7311347450320764,-0.006209617567612069,-0.006819581464636204,0.47808713284033744,False
cnn_lstm,missing,Fwd Seg Size Min,75.0,20,0.7373443625996885,0.6922807900880608,-0.04506357251162779,-0.06749019815189816,8.844915021211901e-05,True
cnn_lstm,missing,Idle Mean,5.0,20,0.7373443625996885,0.7423659496946959,0.005021587095007496,0.001890050594045306,0.7938214901244397,False
cnn_lstm,missing,Idle Mean,10.0,20,0.7373443625996885,0.7397390578550265,0.0023946952553379752,0.0011900958423205876,0.6274160461163308,False
cnn_lstm,missing,Idle Mean,20.0,20,0.7373443625996885,0.7464380269976438,0.009093664397955337,0.007192732819220632,0.018664589466918746,True
cnn_lstm,missing,Idle Mean,35.0,20,0.7373443625996885,0.736255629711037,-0.001088732888651578,0.0017082682046719645,0.7088811060457012,False
cnn_lstm,missing,Idle Mean,50.0,20,0.7373443625996885,0.7341704847216364,-0.0031738778780521226,-0.006423137539148027,0.43300821232079933,False
cnn_lstm,missing,Idle Mean,75.0,20,0.7373443625996885,0.7442300676185862,0.006885705018897792,0.0011426033146553383,0.5256171302573314,False
cnn_lstm,missing,Init Fwd Win Byts,5.0,20,0.7373443625996885,0.7375108561389218,0.00016649353923325894,-0.000593248379688549,0.9404758102696918,False
cnn_lstm,missing,Init Fwd Win Byts,10.0,20,0.7373443625996885,0.7379379415731769,0.00059357897348844,-0.0063217056081204814,0.8812824436000936,False
cnn_lstm,missing,Init Fwd Win Byts,20.0,20,0.7373443625996885,0.7347756761858615,-0.002568686413827015,-0.002236371955993799,0.9404758102696918,False
cnn_lstm,missing,Init Fwd Win Byts,35.0,20,0.7373443625996885,0.7336384778667682,-0.0037058847329203837,-0.006083867824351302,0.3316807695178907,False
cnn_lstm,missing,Init Fwd Win Byts,50.0,20,0.7373443625996885,0.7277902182224207,-0.009554144377267704,-0.003844541219789982,0.8227452173339953,False
cnn_lstm,missing,Init Fwd Win Byts,75.0,20,0.7373443625996885,0.7226359750645315,-0.014708387535157075,-0.02269840938201858,0.004546406334110102,True
cnn_lstm,missing,PSH Flag Cnt,5.0,20,0.7373443625996885,0.7367445978760557,-0.0005997647236327674,0.00044363819089777155,0.8519118437276034,False
cnn_lstm,missing,PSH Flag Cnt,10.0,20,0.7373443625996885,0.7473120266352788,0.009967664035590351,0.0034678831472699846,0.2958354492077534,False
cnn_lstm,missing,PSH Flag Cnt,20.0,20,0.7373443625996885,0.7348746179061931,-0.0024697446934954237,-0.00532782050938066,0.3134209087922204,False
cnn_lstm,missing,PSH Flag Cnt,35.0,19,0.7373443625996885,0.7314531419989829,-0.005891220600705571,-0.005227321949330679,0.3143403471576459,False
cnn_lstm,missing,PSH Flag Cnt,50.0,20,0.7373443625996885,0.7397017233730072,0.0023573607733187174,0.0018030021328233725,0.43300821232079933,False
cnn_lstm,missing,PSH Flag Cnt,75.0,20,0.7373443625996885,0.7284799379494429,-0.008864424650245617,-0.013338102945079455,0.011121981675164004,True
cnn_lstm,missing,Protocol,5.0,20,0.7373443625996885,0.7404738474752526,0.003129484875564026,0.004734675573513675,0.1789182527836226,False
cnn_lstm,missing,Protocol,10.0,20,0.7373443625996885,0.7412593669782097,0.003915004378521214,-0.00032608529043791633,0.7088811060457012,False
cnn_lstm,missing,Protocol,20.0,20,0.7373443625996885,0.741809039110865,0.004464676511176546,0.008691228477619318,0.06733069932137338,False
cnn_lstm,missing,Protocol,35.0,20,0.7373443625996885,0.7509215185120031,0.01357715591231451,0.017009521995861747,0.0007787676862143366,True
cnn_lstm,missing,Protocol,50.0,20,0.7373443625996885,0.7470264911408547,0.009682128541166235,0.013146177176252794,0.012366607551013901,True
cnn_lstm,missing,Protocol,75.0,20,0.7373443625996885,0.7263893234287551,-0.010955039170933378,-0.01870860923302675,0.10839598533148594,False
cnn_lstm,missing,Timestamp,5.0,20,0.7373443625996885,0.7808712149011654,0.04352685230147685,0.042084357381173707,8.844915021211901e-05,True
cnn_lstm,missing,Timestamp,10.0,20,0.7373443625996885,0.7787795082896802,0.04143514568999168,0.04626449228853672,8.844915021211901e-05,True
cnn_lstm,missing,Timestamp,20.0,20,0.7373443625996885,0.7866664700800794,0.04932210748039095,0.05313031364920767,8.844915021211901e-05,True
