model,method,feature,noise_percentage,n_pairs,median_delta,mean_delta,p_value,significant
cnn_lstm,duplicated,Timestamp,10.0,20,0.009909162965039908,0.003724577381194172,0.1789182527836226,False
cnn_lstm,duplicated,Timestamp,20.0,20,0.0006639451453956946,-0.009416278745852819,0.5256171302573314,False
cnn_lstm,duplicated,Timestamp,35.0,20,0.005808436407163664,0.012338055837349354,0.04378536025691078,True
cnn_lstm,duplicated,Timestamp,50.0,20,0.012447439791883674,0.014819069211395076,0.03332485137761509,True
cnn_lstm,duplicated,Timestamp,75.0,20,-0.011767725883430502,-0.022566481408686563,0.03332485137761509,True
cnn_lstm,labels,Label,10.0,19,0.004190885671798372,0.0063175973979897665,0.25792694091796875,False
cnn_lstm,labels,Label,20.0,19,0.009115771320783783,0.008041604894796533,0.1336212158203125,False
cnn_lstm,labels,Label,35.0,19,0.002497301335427915,-0.0038937998531176224,0.8595733642578125,False
cnn_lstm,labels,Label,50.0,19,-0.011689466017835715,-0.03397023194285369,0.036067962646484375,True
cnn_lstm,labels,Label,75.0,19,-0.004366729971822858,-0.004749884285256584,0.4413337707519531,False
cnn_lstm,labels,Protocol,10.0,20,0.00041913105792296124,-0.004720252447250601,0.7088811060457012,False
cnn_lstm,labels,Protocol,20.0,20,0.0027093508939200484,0.0015511247448469101,0.39049158819249985,False
cnn_lstm,labels,Protocol,35.0,20,0.008421408666092645,0.007251348588428702,0.04783809278742148,True
cnn_lstm,labels,Protocol,50.0,20,0.0049727234236414675,0.005478120551026089,0.27892307181082354,False
cnn_lstm,labels,Protocol,75.0,20,-0.02161280431518392,-0.019110002510164075,0.018664589466918746,True
cnn_lstm,labels,label_generic,10.0,20,0.00647600761493855,0.001954333105759598,0.5705966949462891,False
cnn_lstm,labels,label_generic,20.0,20,-0.01027398088870557,-0.010111644133694503,0.15364646911621094,False
cnn_lstm,labels,label_generic,35.0,20,-0.008800097905700355,-0.0175307543400073,0.06372261047363281,False
cnn_lstm,labels,label_generic,50.0,20,-0.7557685690047442,-0.6754245010144023,1.9073486328125e-06,True
cnn_lstm,labels,label_generic,75.0,20,-0.7525104503596939,-0.8715118943735604,1.9073486328125e-06,True
cnn_lstm,missing,Bwd Byts_b Avg,10.0,19,0.0,-0.0013110974008942835,0.7353166906373405,False
cnn_lstm,missing,Bwd Byts_b Avg,20.0,19,0.0,0.002755508055511835,0.09096894797535775,False
cnn_lstm,missing,Bwd Byts_b Avg,35.0,19,0.0,0.0005649890422529829,0.49896229860376107,False
cnn_lstm,missing,Bwd Byts_b Avg,50.0,19,0.0,-0.00045845492057903695,0.8657723749926214,False
cnn_lstm,missing,Bwd Byts_b Avg,75.0,19,0.0,-0.00487769384937442,0.49896229860376107,False
cnn_lstm,missing,Dst Port,10.0,20,0.005983415051402263,0.0033567558320311552,0.601181013818558,False
cnn_lstm,missing,Dst Port,20.0,20,0.005586404942976464,0.0012520886062330704,0.7088811060457012,False
cnn_lstm,missing,Dst Port,35.0,20,-0.005345616411015941,-0.004789436333578983,0.47808713284033744,False
cnn_lstm,missing,Dst Port,50.0,20,-0.009230684303350944,-0.005742763161944947,0.4552335358621803,False
cnn_lstm,missing,Dst Port,75.0,20,-0.05149535052103715,-0.05147500638114407,0.001161273127949132,True
cnn_lstm,missing,Fwd Act Data Pkts,10.0,19,-0.006597242910345802,-0.001280490358806823,0.6291276410777054,False
cnn_lstm,missing,Fwd Act Data Pkts,20.0,19,0.001613834197343178,-0.0011910774596466155,0.7171903998703537,False
cnn_lstm,missing,Fwd Act Data Pkts,35.0,19,0.0045129731507089765,0.003174258203533202,0.42086289683963596,False
cnn_lstm,missing,Fwd Act Data Pkts,50.0,19,-0.0011704752326248125,-0.005452982897869919,0.29537517249446077,False
cnn_lstm,missing,Fwd Act Data Pkts,75.0,19,-0.003647663316381222,-0.0008062619539723174,0.5731301472598336,False
cnn_lstm,missing,Fwd Blk Rate Avg,10.0,20,0.0,0.0016112493083115798,0.40081416938293446,False
cnn_lstm,missing,Fwd Blk Rate Avg,20.0,20,0.0,-0.0011113530191944276,0.779434528427275,False
cnn_lstm,missing,Fwd Blk Rate Avg,35.0,20,0.0,0.0018396235133026962,0.32698934959801507,False
cnn_lstm,missing,Fwd Blk Rate Avg,50.0,20,0.0,-0.0007396150856974315,0.2626182904425206,False
cnn_lstm,missing,Fwd Blk Rate Avg,75.0,20,0.0,0.0005382022560941058,0.5754030229127536,False
cnn_lstm,missing,Fwd Seg Size Min,10.0,20,0.0009940495227858115,0.006561249402359559,0.601181013818558,False
cnn_lstm,missing,Fwd Seg Size Min,20.0,20,0.012337172406095498,0.012829591225094273,0.016871369285917627,True
cnn_lstm,missing,Fwd Seg Size Min,35.0,20,-0.0011084016331637248,0.002711730073054269,0.8519118437276034,False
cnn_lstm,missing,Fwd Seg Size Min,50.0,20,0.006544519839750185,0.004413703030880634,0.6274160461163308,False
cnn_lstm,missing,Fwd Seg Size Min,75.0,20,-0.05453078563515845,-0.05625691365638132,0.0006798746354693244,True
cnn_lstm,missing,Idle Mean,10.0,20,0.007036631722766362,-0.0006999547517247184,0.9702171637980858,False
cnn_lstm,missing,Idle Mean,20.0,20,0.0047965242346185155,0.005302682225175326,0.3134209087922204,False
cnn_lstm,missing,Idle Mean,35.0,20,0.006857487458053313,-0.0001817823893733417,0.5502572060902096,False
cnn_lstm,missing,Idle Mean,50.0,20,-0.007811065003259787,-0.008313188133193334,0.1789182527836226,False
cnn_lstm,missing,Idle Mean,75.0,20,-0.002885100897069559,-0.0007474472793899678,0.9404758102696918,False
cnn_lstm,missing,Init Fwd Win Byts,10.0,20,-0.0023055334236891656,-0.005728457228431932,0.601181013818558,False
cnn_lstm,missing,Init Fwd Win Byts,20.0,20,0.0006891444535756519,-0.0016431235763052499,0.6274160461163308,False
cnn_lstm,missing,Init Fwd Win Byts,35.0,20,0.0001140987323665632,-0.005490619444662753,0.4552335358621803,False
cnn_lstm,missing,Init Fwd Win Byts,50.0,20,-0.0048212448602166225,-0.003251292840101433,0.5502572060902096,False
cnn_lstm,missing,Init Fwd Win Byts,75.0,20,-0.015148734676516173,-0.02210516100233003,0.005729764736498867,True
