Label_enc val_MAE,Label_enc val_MAPE,Label_enc val_RMSE,Label_enc val_SMAPE,epoch,label_generic_enc val_MAE,label_generic_enc val_MAPE,label_generic_enc val_RMSE,label_generic_enc val_SMAPE,step,train_loss_epoch,train_loss_step,val_loss
,,,,0,,,,,49,,0.9871793985366821,
,,,,0,,,,,99,,1.0069688558578491,
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99,,,0.1824008822441101
,,,,0,,,,,99,1.2205810546875,,
,,,,1,,,,,149,,0.6769481897354126,
,,,,1,,,,,199,,0.7014853358268738,
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,199,,,0.11114040017127991
,,,,1,,,,,199,0.7966660261154175,,
,,,,2,,,,,249,,0.6083309054374695,
,,,,2,,,,,299,,0.5262747406959534,
0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,299,,,0.02092811092734337
,,,,2,,,,,299,0.6063601970672607,,
,,,,3,,,,,349,,0.5793746709823608,
,,,,3,,,,,399,,0.5154294967651367,
0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,399,,,0.011249036528170109
,,,,3,,,,,399,0.5324354767799377,,
,,,,4,,,,,449,,0.44192636013031006,
,,,,4,,,,,499,,0.5908933877944946,
0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,499,,,0.008188985288143158
,,,,4,,,,,499,0.5127220153808594,,
,,,,5,,,,,549,,0.502690315246582,
,,,,5,,,,,599,,0.4338846206665039,
0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,599,,,0.007201820611953735
,,,,5,,,,,599,0.48907434940338135,,
,,,,6,,,,,649,,0.6311147809028625,
,,,,6,,,,,699,,0.4276798963546753,
0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,699,,,0.006318995729088783
,,,,6,,,,,699,0.4828827679157257,,
,,,,7,,,,,749,,0.41861411929130554,
,,,,7,,,,,799,,0.46257323026657104,
0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,799,,,0.004606636241078377
,,,,7,,,,,799,0.47755858302116394,,
,,,,8,,,,,849,,0.488495409488678,
,,,,8,,,,,899,,0.281150758266449,
0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,899,,,0.004867701791226864
,,,,8,,,,,899,0.47576823830604553,,
,,,,9,,,,,949,,0.4446086287498474,
,,,,9,,,,,999,,0.6506943702697754,
0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,999,,,0.003911858424544334
,,,,9,,,,,999,0.4659370481967926,,
,,,,10,,,,,1049,,0.38736462593078613,
,,,,10,,,,,1099,,0.4043768048286438,
0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,1099,,,0.003762597916647792
,,,,10,,,,,1099,0.4658479392528534,,
,,,,11,,,,,1149,,0.527722954750061,
,,,,11,,,,,1199,,0.39916449785232544,
0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,1199,,,0.0035576047375798225
,,,,11,,,,,1199,0.46420395374298096,,
,,,,12,,,,,1249,,0.4358418583869934,
,,,,12,,,,,1299,,0.4055514633655548,
0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,1299,,,0.0038468698039650917
,,,,12,,,,,1299,0.46475550532341003,,
,,,,13,,,,,1349,,0.47979816794395447,
,,,,13,,,,,1399,,0.5131727457046509,
0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,1399,,,0.0037794532254338264
,,,,13,,,,,1399,0.46044671535491943,,
,,,,14,,,,,1449,,0.463723361492157,
,,,,14,,,,,1499,,0.4002959728240967,
0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,1499,,,0.002845277078449726
,,,,14,,,,,1499,0.45521247386932373,,
,,,,15,,,,,1549,,0.36359700560569763,
,,,,15,,,,,1599,,0.392177939414978,
0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,1599,,,0.0034271858166903257
,,,,15,,,,,1599,0.46464985609054565,,
,,,,16,,,,,1649,,0.39197155833244324,
,,,,16,,,,,1699,,0.3967750072479248,
0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,1699,,,0.004048268310725689
,,,,16,,,,,1699,0.4582878053188324,,
,,,,17,,,,,1749,,0.4493004083633423,
,,,,17,,,,,1799,,0.5154935121536255,
0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,1799,,,0.00318809412419796
,,,,17,,,,,1799,0.45535147190093994,,
,,,,18,,,,,1849,,0.47084200382232666,
,,,,18,,,,,1899,,0.5333740711212158,
0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,1899,,,0.003914587199687958
,,,,18,,,,,1899,0.4541906714439392,,
,,,,19,,,,,1949,,0.40841051936149597,
,,,,19,,,,,1999,,0.3218715488910675,
0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,1999,,,0.003102631075307727
,,,,19,,,,,1999,0.44548121094703674,,
