feature,corr_label_generic,anova_f_label,abs_corr_generic,noise_fragility,data_type
Tot Fwd Pkts,0.025447664314908795,2004973.399760116,0.025447664314908795,🔴 High fragility,continuous
Bwd Pkts/s,0.2600926199208206,1839066.377717608,0.2600926199208206,🔴 High fragility,continuous
TotLen Fwd Pkts,0.01871579620894259,735107.4183418876,0.01871579620894259,🔴 High fragility,continuous
Fwd Seg Size Min,0.42996172489117707,621783.2708217805,0.42996172489117707,🟢 Low fragility (robust),categorical
Init Fwd Win Byts,0.2180480628693701,302872.0357052295,0.2180480628693701,🟡 Medium fragility,continuous
Fwd Pkts/s,0.07150858053541091,138786.23267059342,0.07150858053541091,🔴 High fragility,continuous
Bwd IAT Mean,-0.05266956413458623,98738.58008656009,0.05266956413458623,🔴 High fragility,continuous
Fwd Pkt Len Mean,-0.2289998327800193,87007.68671800733,0.2289998327800193,🔴 High fragility,continuous
URG Flag Cnt,-0.0028820308671325696,81837.40117542015,0.0028820308671325696,🔴 High fragility,binary
Bwd IAT Min,-0.015465986987787866,74073.76444017712,0.015465986987787866,🔴 High fragility,continuous
Bwd Pkt Len Min,-0.21865780667851428,62844.349130743925,0.21865780667851428,🟡 Medium fragility,continuous
Fwd Pkt Len Max,-0.18903667026009527,61004.77085072535,0.18903667026009527,🔴 High fragility,continuous
Pkt Len Min,-0.20220506096331256,54830.24654965463,0.20220506096331256,🔴 High fragility,categorical
Pkt Len Mean,-0.18337574825181066,51907.5684009427,0.18337574825181066,🔴 High fragility,continuous
Fwd Pkt Len Min,-0.19075508153080775,48540.76157589001,0.19075508153080775,🔴 High fragility,continuous
Bwd Pkt Len Mean,-0.15774447511948822,45954.52994316448,0.15774447511948822,🔴 High fragility,continuous
Bwd Pkt Len Max,-0.10897150331404377,43107.51993748636,0.10897150331404377,🟡 Medium fragility,continuous
Init Bwd Win Byts,-0.18159524869551202,40392.55726567217,0.18159524869551202,🟡 Medium fragility,continuous
Flow IAT Std,-0.09188478617376597,39290.216096988224,0.09188478617376597,🔴 High fragility,continuous
Bwd IAT Max,-0.08708605367560963,34247.38729955368,0.08708605367560963,🔴 High fragility,continuous
Flow Duration,-0.12378171925128385,29589.935975415126,0.12378171925128385,🟡 Medium fragility,continuous
Flow IAT Max,-0.08104838383494815,28930.116643280282,0.08104838383494815,🔴 High fragility,continuous
Bwd IAT Std,-0.08094015088276378,23355.692089486984,0.08094015088276378,🔴 High fragility,continuous
Flow IAT Mean,-0.02862131053307497,22890.240270366336,0.02862131053307497,🔴 High fragility,continuous
Bwd IAT Tot,-0.11408687065172826,22361.581727266846,0.11408687065172826,🔴 High fragility,continuous
Idle Min,-0.05482241839328641,21287.95244856639,0.05482241839328641,🔴 High fragility,continuous
Down/Up Ratio,-0.022734434148422154,17747.327256964592,0.022734434148422154,🔴 High fragility,continuous
Fwd PSH Flags,-0.08581396078380146,11629.386245122778,0.08581396078380146,🔴 High fragility,binary
Fwd URG Flags,0.009918235547067944,3931.1129933345305,0.009918235547067944,🔴 High fragility,binary
Pkt Len Var,-0.034740505809821014,3312.197632368745,0.034740505809821014,🔴 High fragility,continuous
Active Max,-0.030320698250943797,1978.1906005094681,0.030320698250943797,🔴 High fragility,continuous
Active Mean,-0.02581790829438343,1760.4588561542407,0.02581790829438343,🔴 High fragility,continuous
Active Min,-0.019955733351267886,1241.7824923208652,0.019955733351267886,🔴 High fragility,continuous
Active Std,-0.022480314763913208,933.7621834516244,0.022480314763913208,🔴 High fragility,continuous
FIN Flag Cnt,-0.02422654807037291,806.0583679000644,0.02422654807037291,🔴 High fragility,binary
Tot Bwd Pkts,-0.011641572325793551,209.35657139750296,0.011641572325793551,🔴 High fragility,continuous
