trial,N_a,N_steps,gamma,lambda_sparse,lr,batch_size,mask_type,mcc_bin,mcc_mul,mean_mcc
7,32,5,1.1,0.06153085601625314,0.004132765459466363,512,sparsemax,0.9558944082686022,0.9429311253873817,0.9494127668279919
0,16,4,1.0,0.0396760507705299,0.0015930522616241021,1024,sparsemax,0.9259694798512795,0.9129097084929213,0.9194395941721004
9,128,10,1.2,0.003102740950912841,0.0003997206819121809,1024,entmax,0.7291300617782899,0.8337546851755002,0.781442373476895
2,128,9,1.3,0.00019634341572933326,0.0023359635026261607,1024,sparsemax,0.6753069259890472,0.7780589503813979,0.7266829381852226
1,32,7,1.1,0.0007523742884534858,0.0005404103854647331,512,sparsemax,0.8293820238238848,0.37249281875775425,0.6009374212908195
6,128,6,1.5,0.0019170041589170674,0.0001124186209579306,1024,entmax,0.6042246202707304,0.5484664498765339,0.5763455350736322
3,8,10,1.8,0.06584106160121614,0.006161049539380964,512,entmax,0.5526715552231162,0.5508591049054729,0.5517653300642945
8,16,6,1.8,0.03821129441691227,0.00010325337616482048,256,entmax,0.5334524978878743,0.2221044503353902,0.37777847411163223
4,32,7,1.1,0.025502980701628937,0.00014096175149815865,256,sparsemax,0.19094799252516034,0.044779678096070995,0.11786383531061567
5,16,9,1.6,0.0009833181933644897,0.00013400367243354819,1024,sparsemax,-0.15293824423815436,0.014782871042657787,-0.06907768659774828
