feature,corr_label_generic,abs_corr_generic,anova_f_label,noise_fragility
Dst Port,-0.18340672092577878,0.18340672092577878,46380.97158825539,🟢 Low fragility (robust)
Flow Duration,-0.12308147292335278,0.12308147292335278,29474.224387190014,🟡 Medium fragility
Tot Fwd Pkts,0.0254565972889246,0.0254565972889246,2012379.069229404,🔴 High fragility
Tot Bwd Pkts,-0.011576932096935532,0.011576932096935532,208.35473445417415,🔴 High fragility
TotLen Fwd Pkts,0.018730372135526804,0.018730372135526804,737822.9890861127,🔴 High fragility
Fwd Pkt Len Max,-0.18777912224063653,0.18777912224063653,60581.59388647203,🔴 High fragility
Fwd Pkt Len Min,-0.1898879978138934,0.1898879978138934,48279.704606907166,🔴 High fragility
Fwd Pkt Len Mean,-0.22732283051383403,0.22732283051383403,86222.06140536335,🔴 High fragility
Bwd Pkt Len Max,-0.10774200054484837,0.10774200054484837,42870.90109735583,🟡 Medium fragility
Bwd Pkt Len Min,-0.2176463792497673,0.2176463792497673,62476.30680405389,🟡 Medium fragility
Bwd Pkt Len Mean,-0.15647482273358237,0.15647482273358237,45575.84392908414,🔴 High fragility
Flow IAT Mean,-0.028225566700419945,0.028225566700419945,22944.40352088017,🔴 High fragility
Flow IAT Std,-0.09140411721419751,0.09140411721419751,39312.16139723531,🔴 High fragility
Flow IAT Max,-0.08044101321747082,0.08044101321747082,28905.75259839678,🔴 High fragility
Bwd IAT Tot,-0.11356301991646998,0.11356301991646998,22290.153976254674,🔴 High fragility
Bwd IAT Mean,-0.05234968871630246,0.05234968871630246,99040.64565086758,🔴 High fragility
Bwd IAT Std,-0.08050521286073828,0.08050521286073828,23347.590144708873,🔴 High fragility
Bwd IAT Max,-0.08664248914242928,0.08664248914242928,34266.926091552195,🔴 High fragility
Bwd IAT Min,-0.015341797438666493,0.015341797438666493,74340.38727889587,🔴 High fragility
Fwd PSH Flags,-0.08543654694223349,0.08543654694223349,11589.231658927609,🔴 High fragility
Fwd URG Flags,0.009932844766278091,0.009932844766278091,3924.90637522588,🔴 High fragility
Fwd Pkts/s,0.07173169069194302,0.07173169069194302,139325.9050806334,🔴 High fragility
Bwd Pkts/s,0.2602029945667906,0.2602029945667906,1845894.927355205,🔴 High fragility
Pkt Len Min,-0.20127779947405414,0.20127779947405414,54528.14976872624,🔴 High fragility
Pkt Len Mean,-0.18195093794173273,0.18195093794173273,51395.41998871043,🔴 High fragility
Pkt Len Var,-0.03442544533485931,0.03442544533485931,3297.9253635850323,🔴 High fragility
FIN Flag Cnt,-0.025709157143658755,0.025709157143658755,897.5380612642043,🔴 High fragility
RST Flag Cnt,0.04797985526715561,0.04797985526715561,61369.03904658397,🟢 Low fragility (robust)
PSH Flag Cnt,0.02294578332574584,0.02294578332574584,68868.04065961117,🟢 Low fragility (robust)
ACK Flag Cnt,0.2204652678564943,0.2204652678564943,149584.15865407416,🟢 Low fragility (robust)
URG Flag Cnt,-0.0025932390844083868,0.0025932390844083868,82092.26803628501,🔴 High fragility
Down/Up Ratio,-0.021950955312460205,0.021950955312460205,17738.208578232425,🔴 High fragility
Init Fwd Win Byts,0.21838983261392406,0.21838983261392406,303882.4482246916,🟡 Medium fragility
Init Bwd Win Byts,-0.18080127720809439,0.18080127720809439,40178.195616015844,🟡 Medium fragility
Fwd Seg Size Min,0.4292959223585794,0.4292959223585794,622447.0222736397,🟢 Low fragility (robust)
Active Mean,-0.025699410031086244,0.025699410031086244,1758.992947797854,🔴 High fragility
Active Std,-0.0223817757019954,0.0223817757019954,931.6689956257493,🔴 High fragility
Active Max,-0.030184455467340957,0.030184455467340957,1974.9059763899954,🔴 High fragility
Active Min,-0.019862231818673564,0.019862231818673564,1241.4148481930627,🔴 High fragility
Idle Min,-0.05433501271149007,0.05433501271149007,21295.784270141674,🔴 High fragility
